Date,Open,High,Low,Close,Volume
2018-09-07,932.12,945.59,931.19,945.59,46814260.0
2018-09-10,945.59,948.31,942.68,943.31,50012320.0
2018-09-11,943.31,959.09,940.78,958.91,47924060.0
2018-09-12,958.91,967.78,958.67,958.67,55984740.0
2018-09-13,958.67,963.72,955.64,957.17,48964120.0
2018-09-14,957.17,963.5,957.17,960.6,13240120.0
2018-09-17,958.78,960.94,951.38,953.79,43725890.0
2018-09-18,949.32,959.75,945.93,959.75,58886410.0
2018-09-19,959.75,969.34,959.75,962.7,66978840.0
2018-09-20,962.7,971.48,962.26,971.18,56330910.0
2018-09-21,971.18,978.77,968.73,974.43,117096540.0
2018-09-24,974.43,986.3,974.43,985.59,55248400.0
2018-09-25,985.59,988.23,980.44,985.11,53103760.0
2018-09-26,985.11,989.54,980.8,984.39,60311360.0
2018-09-27,984.39,992.1,984.15,989.45,51372600.0
2018-09-28,989.45,996.6,989.45,994.73,89440260.0
2018-10-01,994.73,1001.14,990.0,990.41,81255010.0
2018-10-02,990.41,992.77,984.54,987.88,66203650.0
2018-10-03,987.88,992.87,986.16,990.6,57100270.0
2018-10-04,990.6,993.78,989.06,993.61,74038630.0
2018-10-05,993.61,993.61,980.75,980.75,74563800.0
2018-10-08,980.75,980.75,968.61,970.28,71307590.0
2018-10-09,970.28,974.29,966.68,967.37,63817220.0
2018-10-10,967.37,970.51,961.7,966.27,63521280.0
2018-10-11,966.27,966.27,911.69,920.02,136876030.0
2018-10-12,920.02,943.73,908.74,943.49,78654890.0
2018-10-15,943.49,943.62,927.6,928.55,41833000.0
2018-10-16,928.55,939.41,926.96,939.41,42663640.0
2018-10-17,939.41,949.41,939.41,947.46,15230120.0
2018-10-18,945.91,945.92,936.22,937.54,45079700.0
2018-10-19,937.54,937.54,920.28,931.69,47143040.0
2018-10-22,931.69,938.02,922.75,922.75,41144780.0
2018-10-23,908.0,919.49,893.34,908.0,72791480.0
2018-10-24,908.0,909.4,896.5,896.5,48110900.0
2018-10-25,896.5,896.5,860.13,888.86,56983320.0
2018-10-26,888.86,897.48,881.06,881.06,45672420.0
2018-10-29,881.06,881.87,870.36,874.43,41645700.0
2018-10-30,874.43,881.83,868.29,874.06,37875270.0
2018-10-31,874.06,901.93,874.06,901.57,60484190.0
2018-11-01,901.57,901.57,885.58,887.72,39445040.0
