Date,Open,High,Low,Close,Volume
2018-09-21,1006.25,1009.1,1000.39,1002.97,273413180.0
2018-09-24,1007.52,1011.29,1002.97,1011.29,169064700.0
2018-09-25,1011.94,1014.53,1008.67,1010.74,198025710.0
2018-09-26,1008.93,1014.86,1007.44,1009.61,219304600.0
2018-09-27,1012.57,1017.78,1009.61,1015.37,180548480.0
2018-09-28,1019.34,1020.84,1015.37,1017.13,223985030.0
2018-10-01,1019.49,1023.87,1012.88,1012.88,224079290.0
2018-10-02,1014.26,1021.51,1012.88,1018.79,203211920.0
2018-10-03,1021.08,1024.59,1016.47,1020.4,159465930.0
2018-10-04,1024.68,1024.68,1020.4,1023.62,183493900.0
2018-10-05,1020.21,1023.62,1008.39,1008.39,204312380.0
2018-10-08,1003.31,1008.39,996.12,996.12,184494660.0
2018-10-09,998.7,1001.87,996.12,996.19,178671520.0
2018-10-10,998.66,999.62,991.22,993.96,170310580.0
2018-10-11,972.21,993.96,938.83,945.89,342322780.0
2018-10-12,939.2,970.08,933.35,970.08,202180250.0
2018-10-15,968.8,970.08,951.64,951.64,122347660.0
2018-10-16,950.36,963.69,950.36,963.37,117463420.0
2018-10-17,973.14,975.27,963.37,971.6,137708130.0
2018-10-18,968.93,971.6,962.68,963.47,125904200.0
2018-10-19,949.94,963.47,945.83,958.36,131750750.0
2018-10-22,958.36,963.79,953.51,953.51,132907370.0
2018-10-23,950.12,953.51,925.29,939.68,180452220.0
2018-10-24,935.25,939.68,922.73,922.73,131812580.0
2018-10-25,902.59,922.73,885.34,910.17,163267870.0
2018-10-26,918.11,918.16,900.82,900.82,133196280.0
2018-10-29,895.05,900.82,884.92,888.82,113190110.0
2018-10-30,881.32,894.8,880.85,888.69,119442400.0
2018-10-31,894.23,914.76,888.69,914.76,158835290.0
2018-11-01,915.52,918.84,905.73,907.96,121537840.0
2018-11-02,911.35,927.62,907.96,924.86,208306270.0
2018-11-05,920.87,925.53,915.77,925.53,120636020.0
2018-11-06,931.0,931.27,921.93,922.05,120323080.0
2018-11-07,922.03,924.6,915.41,922.16,126493110.0
2018-11-08,928.69,932.86,922.16,926.28,136371250.0
2018-11-09,921.11,926.28,914.29,914.29,130987570.0
2018-11-12,909.36,918.99,903.95,918.12,109196880.0
2018-11-13,904.35,918.12,903.48,905.38,132420850.0
2018-11-14,904.16,910.58,898.83,900.93,124973890.0
2018-11-15,901.13,903.83,892.5,897.15,134157220.0
2018-11-16,901.44,903.21,894.14,898.19,142404810.0
