Date,Open,High,Name,Low,Close,Volume
2018-09-21,98.0,99.0,BVH,96.5,94.98,266280.0
2018-09-24,98.5,98.5,BVH,97.0,94.98,11960.0
2018-09-25,97.3,97.7,BVH,94.0,94.3,24830.0
2018-09-26,97.0,97.0,BVH,95.0,92.36,49360.0
2018-09-27,95.0,98.4,BVH,95.0,95.66,101430.0
2018-09-28,99.0,99.3,BVH,97.4,95.28,45070.0
2018-10-01,98.0,98.0,BVH,96.8,94.3,60200.0
2018-10-02,97.0,98.0,BVH,96.0,93.33,69440.0
2018-10-03,95.2,97.5,BVH,95.2,93.33,10110.0
2018-10-04,95.1,96.0,BVH,94.0,92.84,38220.0
2018-10-05,96.0,97.0,BVH,95.4,93.33,26760.0
2018-10-08,96.0,96.0,BVH,92.5,90.51,82280.0
2018-10-09,95.5,95.5,BVH,92.6,90.03,20800.0
2018-10-10,92.6,93.0,BVH,91.0,89.44,121780.0
2018-10-11,87.6,89.1,BVH,85.6,85.16,193090.0
2018-10-12,84.7,91.0,BVH,84.7,88.47,137360.0
2018-10-15,91.0,91.0,BVH,86.1,87.5,69370.0
2018-10-16,88.1,90.0,BVH,88.1,86.91,57750.0
2018-10-17,90.0,90.4,BVH,89.4,87.01,44560.0
2018-10-18,89.5,92.5,BVH,89.3,89.64,64260.0
2018-10-19,90.8,92.6,BVH,90.5,89.44,67550.0
2018-10-22,92.0,92.9,BVH,91.4,89.25,29130.0
2018-10-23,91.8,92.0,BVH,90.6,89.44,67890.0
2018-10-24,89.5,93.0,BVH,89.5,90.41,84930.0
2018-10-25,87.1,92.9,BVH,87.1,90.32,139280.0
2018-10-26,92.9,93.5,BVH,89.9,90.9,141820.0
2018-10-29,92.0,94.7,BVH,92.0,92.07,144560.0
2018-10-30,91.5,96.5,BVH,91.5,93.72,229710.0
2018-10-31,96.4,99.0,BVH,96.0,95.37,273050.0
2018-11-01,98.1,98.6,BVH,97.7,95.76,277060.0
2018-11-02,98.9,98.9,BVH,95.5,93.14,94690.0
2018-11-05,95.5,95.7,BVH,92.5,90.32,86550.0
2018-11-06,92.6,94.0,BVH,92.6,90.9,44440.0
2018-11-07,95.9,95.9,BVH,92.6,91.68,11550.0
2018-11-08,90.1,95.5,BVH,90.1,91.58,105260.0
2018-11-09,94.0,96.0,BVH,94.0,93.04,51740.0
2018-11-12,95.0,98.2,BVH,95.0,94.89,88770.0
2018-11-13,97.0,99.0,BVH,96.0,96.25,60710.0
2018-11-14,99.0,99.0,BVH,97.0,95.28,89250.0
2018-11-15,96.2,96.5,BVH,94.0,91.39,81850.0
2018-11-16,95.0,95.9,BVH,94.0,92.16,41790.0
2018-11-19,94.7,95.0,BVH,93.0,92.36,63740.0
2018-11-20,94.9,95.1,BVH,93.0,92.07,53000.0
2018-11-21,93.0,94.5,BVH,93.0,91.39,40110.0
2018-11-22,95.9,96.2,BVH,93.6,93.53,62530.0
2018-11-23,95.9,97.9,BVH,95.9,95.18,74860.0
2018-11-26,97.9,97.9,BVH,97.1,95.18,138330.0
2018-11-27,97.9,97.9,BVH,96.2,94.89,72990.0
2018-11-28,97.6,97.6,BVH,96.0,94.59,34180.0
2018-11-29,96.0,96.3,BVH,95.0,92.36,58130.0
2018-11-30,95.0,101.6,BVH,95.0,93.14,257850.0
2018-12-03,97.0,99.0,BVH,96.8,94.59,60370.0
