Date,Open,High,Name,Low,Close,Volume
2018-09-21,27.6,28.3,CTG,27.5,21.46,11683350.0
2018-09-24,28.1,28.3,CTG,27.8,21.39,4332530.0
2018-09-25,27.8,28.2,CTG,27.65,21.24,5786020.0
2018-09-26,27.75,28.2,CTG,27.65,21.12,5824170.0
2018-09-27,27.8,27.95,CTG,27.55,21.08,4772170.0
2018-09-28,27.7,28.1,CTG,27.55,21.04,6073370.0
2018-10-01,27.6,27.8,CTG,26.8,20.66,6461870.0
2018-10-02,27.05,27.45,CTG,26.65,20.7,7746060.0
2018-10-03,27.3,27.7,CTG,27.25,21.01,4127150.0
2018-10-04,27.85,27.9,CTG,27.55,21.16,3473930.0
2018-10-05,27.7,27.8,CTG,27.1,20.7,5198350.0
2018-10-08,26.9,27.25,CTG,26.8,20.51,4657990.0
2018-10-09,26.85,27.0,CTG,26.6,20.4,3336170.0
2018-10-10,26.8,26.85,CTG,26.35,20.2,3546520.0
2018-10-11,24.6,25.7,CTG,24.6,18.79,12082520.0
2018-10-12,24.2,25.4,CTG,24.1,19.4,5389190.0
2018-10-15,25.4,25.5,CTG,24.75,18.91,2884750.0
2018-10-16,24.8,25.15,CTG,24.7,19.21,2005520.0
2018-10-17,25.6,25.7,CTG,25.25,19.33,3206460.0
2018-10-18,25.0,25.5,CTG,24.85,18.98,3109490.0
2018-10-19,24.5,24.9,CTG,24.2,18.87,3112080.0
2018-10-22,24.9,25.0,CTG,24.45,18.68,2097350.0
2018-10-23,24.4,24.4,CTG,23.25,18.07,5920090.0
2018-10-24,23.65,23.95,CTG,23.2,17.72,3019740.0
2018-10-25,22.4,23.15,CTG,22.1,17.57,4766130.0
2018-10-26,23.4,23.4,CTG,22.5,17.19,1995490.0
2018-10-29,22.3,22.75,CTG,22.1,16.88,3684150.0
2018-10-30,22.1,22.55,CTG,22.0,16.96,2528950.0
2018-10-31,22.6,23.4,CTG,22.4,17.87,5805250.0
2018-11-01,23.5,23.55,CTG,22.8,17.45,2567210.0
2018-11-02,23.0,23.8,CTG,22.95,17.95,4558920.0
