Date,Open,High,Name,Low,Close,Volume
2018-09-20,45.05,46.2,FPT,45.05,28.86,1126260.0
2018-09-21,46.05,46.05,FPT,45.2,28.86,1327270.0
2018-09-24,45.9,46.5,FPT,45.8,28.98,991190.0
2018-09-25,45.9,46.1,FPT,45.8,28.86,746530.0
2018-09-26,46.0,46.8,FPT,45.85,28.95,1028940.0
2018-09-27,46.05,46.5,FPT,46.05,29.05,750790.0
2018-09-28,46.5,46.5,FPT,46.25,29.11,559790.0
2018-10-01,46.3,46.45,FPT,45.95,28.92,519760.0
2018-10-02,45.85,46.0,FPT,45.25,28.48,854660.0
2018-10-03,45.3,45.7,FPT,45.25,28.61,373060.0
2018-10-04,45.5,46.0,FPT,45.4,28.83,471280.0
2018-10-05,45.95,46.0,FPT,45.55,28.67,508450.0
2018-10-08,45.5,45.5,FPT,45.0,28.29,511810.0
2018-10-09,45.0,45.15,FPT,44.7,28.1,399440.0
2018-10-10,44.7,45.4,FPT,44.7,28.48,695690.0
2018-10-11,42.7,44.4,FPT,42.3,26.85,2177930.0
2018-10-12,42.5,44.0,FPT,41.7,27.54,1377940.0
2018-10-15,43.8,44.0,FPT,43.0,27.04,495650.0
2018-10-16,43.5,43.5,FPT,42.7,27.19,603710.0
2018-10-17,43.8,44.0,FPT,43.5,27.41,474320.0
2018-10-18,43.7,44.0,FPT,43.4,27.41,710630.0
2018-10-19,43.0,43.5,FPT,42.9,27.04,925420.0
2018-10-22,43.4,43.7,FPT,43.1,27.13,429360.0
2018-10-23,43.15,43.15,FPT,41.6,26.53,1150850.0
2018-10-24,42.05,42.55,FPT,41.8,26.28,562380.0
2018-10-25,40.0,41.3,FPT,40.0,25.81,757730.0
2018-10-26,41.5,41.75,FPT,40.8,25.65,919770.0
2018-10-29,40.5,41.45,FPT,40.5,25.78,462380.0
2018-10-30,41.1,41.8,FPT,40.85,25.78,452630.0
2018-10-31,41.75,42.0,FPT,41.3,26.38,325140.0
2018-11-01,42.05,42.4,FPT,41.9,26.34,469760.0
2018-11-02,42.35,43.0,FPT,42.05,26.97,593810.0
2018-11-05,42.6,43.0,FPT,42.2,26.75,265620.0
2018-11-06,42.7,42.75,FPT,42.1,26.5,470930.0
2018-11-07,42.15,42.5,FPT,41.65,26.31,495560.0
2018-11-08,42.25,42.4,FPT,41.95,26.5,352130.0
2018-11-09,41.8,42.1,FPT,41.2,25.94,635120.0
2018-11-12,41.2,41.95,FPT,41.15,26.38,273110.0
2018-11-13,41.2,41.75,FPT,41.2,26.19,438030.0
2018-11-14,41.9,42.25,FPT,41.6,26.56,752440.0
2018-11-15,42.0,42.4,FPT,41.7,26.53,498790.0
2018-11-16,42.5,42.9,FPT,42.25,26.88,639910.0
2018-11-19,43.0,43.2,FPT,42.8,27.13,396020.0
2018-11-20,43.2,43.4,FPT,42.85,27.29,550140.0
2018-11-21,42.8,43.4,FPT,42.7,27.29,513360.0
2018-11-22,43.4,43.6,FPT,43.25,27.29,323300.0
2018-11-23,43.1,43.45,FPT,43.0,27.07,346060.0
2018-11-26,43.05,43.05,FPT,42.45,26.69,483470.0
2018-11-27,42.9,42.9,FPT,42.5,26.88,341670.0
2018-11-28,42.75,42.85,FPT,42.55,26.91,256240.0
2018-11-29,43.3,43.5,FPT,42.9,26.97,523610.0
2018-11-30,42.9,42.95,FPT,42.65,26.97,323780.0
2018-12-03,43.2,44.9,FPT,43.2,28.23,1136360.0
2018-12-04,44.9,45.5,FPT,44.75,28.26,1011170.0
2018-12-05,44.45,44.95,FPT,44.4,28.04,605880.0
2018-12-06,44.5,44.8,FPT,44.05,27.92,484120.0
2018-12-07,44.6,45.35,FPT,44.6,28.36,763170.0
2018-12-10,44.8,45.0,FPT,44.2,27.79,694990.0
2018-12-11,44.3,44.5,FPT,43.9,27.7,382700.0
2018-12-12,44.05,44.55,FPT,44.05,27.95,664120.0
2018-12-13,44.95,45.25,FPT,44.5,28.04,780570.0
2018-12-14,44.6,44.8,FPT,44.1,27.76,787920.0
2018-12-17,44.1,44.1,FPT,43.0,27.04,777640.0
2018-12-18,42.35,42.8,FPT,41.85,26.41,1125660.0
2018-12-19,42.0,42.6,FPT,41.85,26.47,471580.0
2018-12-20,42.3,42.4,FPT,42.05,26.44,461210.0
2018-12-21,41.9,42.5,FPT,41.9,26.72,453810.0
2018-12-24,42.6,42.8,FPT,42.0,26.41,212530.0
2018-12-25,41.4,41.5,FPT,41.0,26.09,732310.0
2018-12-26,41.5,41.85,FPT,41.4,26.03,333590.0
2018-12-27,42.1,42.25,FPT,41.8,26.28,454860.0
2018-12-28,42.05,42.2,FPT,41.8,26.53,387170.0
2019-01-02,41.2,42.15,FPT,41.15,25.9,459120.0
2019-01-03,41.45,41.45,FPT,40.7,25.65,716600.0
2019-01-04,40.6,41.45,FPT,40.5,25.84,318570.0
2019-01-07,41.8,42.1,FPT,41.6,26.28,408470.0
2019-01-08,41.8,42.0,FPT,41.7,26.41,295660.0
2019-01-09,42.1,42.6,FPT,41.9,26.66,309040.0
2019-01-10,42.4,42.55,FPT,42.15,26.5,207330.0
2019-01-11,42.4,42.55,FPT,42.05,26.53,596090.0
