Date,Open,High,Name,Low,Close,Volume
2018-09-21,115.6,116.8,GAS,114.3,102.64,461610.0
2018-09-24,115.9,118.0,GAS,115.9,104.33,339610.0
2018-09-25,118.0,119.9,GAS,118.0,104.5,411900.0
2018-09-26,118.0,118.8,GAS,117.1,103.71,327570.0
2018-09-27,117.8,117.9,GAS,114.7,103.8,386390.0
2018-09-28,118.0,118.0,GAS,115.7,102.47,286600.0
2018-10-01,115.8,119.9,GAS,115.8,105.92,493290.0
2018-10-02,119.8,123.5,GAS,119.7,107.6,515710.0
2018-10-03,120.9,123.0,GAS,120.8,108.67,239720.0
2018-10-04,125.0,125.0,GAS,123.0,109.82,227900.0
2018-10-05,121.9,123.6,GAS,120.0,106.28,403490.0
2018-10-08,117.5,118.8,GAS,116.2,103.18,347700.0
2018-10-09,120.0,120.0,GAS,117.9,105.66,169930.0
2018-10-10,120.0,121.1,GAS,119.3,107.16,185290.0
2018-10-11,112.6,116.8,GAS,112.6,99.72,944220.0
2018-10-12,112.6,119.9,GAS,108.0,106.19,607890.0
2018-10-15,118.0,120.0,GAS,115.0,101.85,473420.0
2018-10-16,115.0,118.4,GAS,114.9,103.44,316710.0
2018-10-17,117.1,119.5,GAS,116.8,103.71,492070.0
2018-10-18,116.1,116.5,GAS,114.5,101.4,242460.0
2018-10-19,110.0,113.8,GAS,110.0,99.19,654420.0
2018-10-22,113.0,114.6,GAS,112.0,99.19,341980.0
2018-10-23,112.0,112.0,GAS,106.1,96.89,384490.0
2018-10-24,107.1,108.3,GAS,101.8,90.16,798130.0
2018-10-25,97.0,102.0,GAS,95.1,90.16,568570.0
2018-10-26,104.0,104.3,GAS,101.8,90.16,473890.0
2018-10-29,101.6,101.7,GAS,95.5,85.91,481650.0
2018-10-30,96.6,99.5,GAS,96.2,87.68,526490.0
2018-10-31,100.5,104.0,GAS,100.0,92.11,516660.0
2018-11-01,103.0,103.4,GAS,101.3,89.89,282450.0
2018-11-02,101.3,102.9,GAS,99.5,90.95,665140.0
2018-11-05,101.5,102.5,GAS,99.9,90.6,460360.0
2018-11-06,103.7,104.4,GAS,101.6,90.25,413030.0
2018-11-07,100.8,102.0,GAS,99.1,88.39,605260.0
2018-11-08,102.0,102.0,GAS,100.1,88.65,229280.0
2018-11-09,99.6,99.6,GAS,95.0,84.13,681560.0
2018-11-12,95.0,97.4,GAS,93.5,85.55,438100.0
2018-11-13,93.4,94.8,GAS,93.1,83.16,438310.0
2018-11-14,92.0,93.5,GAS,89.0,79.88,807750.0
2018-11-15,91.9,93.0,GAS,90.1,80.06,612630.0
2018-11-16,92.5,95.0,GAS,91.3,84.13,580710.0
2018-11-19,95.0,97.0,GAS,95.0,85.37,516050.0
2018-11-20,95.8,96.9,GAS,95.1,85.11,513460.0
2018-11-21,94.0,94.5,GAS,93.2,83.16,734350.0
2018-11-22,93.9,95.4,GAS,93.0,82.54,295800.0
2018-11-23,93.0,93.6,GAS,92.1,81.92,292670.0
2018-11-26,90.6,91.7,GAS,90.2,80.42,668590.0
2018-11-27,91.8,92.4,GAS,90.3,80.24,529980.0
2018-11-28,90.6,92.5,GAS,90.5,81.04,563260.0
2018-11-29,92.2,92.2,GAS,89.1,79.8,908960.0
2018-11-30,90.2,91.2,GAS,89.7,80.42,437560.0
2018-12-03,94.0,97.0,GAS,93.2,85.91,1357490.0
2018-12-04,97.0,97.5,GAS,95.5,85.46,850850.0
2018-12-05,95.5,96.5,GAS,94.5,85.11,576190.0
2018-12-06,95.5,96.9,GAS,94.2,84.22,831270.0
2018-12-07,95.0,96.8,GAS,95.0,85.29,936130.0
2018-12-10,96.5,99.0,GAS,96.2,86.53,1017190.0
2018-12-11,97.0,97.3,GAS,96.0,85.11,613810.0
2018-12-12,96.1,97.6,GAS,96.1,85.91,466030.0
2018-12-13,97.0,98.4,GAS,96.8,85.99,464540.0
2018-12-14,97.3,98.0,GAS,95.5,84.84,584180.0
2018-12-17,95.8,95.8,GAS,93.0,82.36,805870.0
2018-12-18,91.0,93.5,GAS,90.8,82.81,818850.0
2018-12-19,93.5,93.5,GAS,90.5,81.48,802830.0
2018-12-20,91.6,93.5,GAS,91.6,82.81,303240.0
2018-12-21,92.0,92.4,GAS,91.0,81.21,208950.0
2018-12-24,91.1,91.3,GAS,89.0,78.82,718380.0
2018-12-25,84.5,86.5,GAS,83.5,75.99,758570.0
2018-12-26,85.8,86.4,GAS,82.4,73.51,684770.0
2018-12-27,87.0,87.7,GAS,85.8,76.61,555700.0
2018-12-28,86.5,87.1,GAS,85.2,76.7,351010.0
2019-01-02,86.8,86.9,GAS,86.1,76.87,417520.0
2019-01-03,86.5,87.0,GAS,84.0,75.01,404480.0
2019-01-04,83.8,85.5,GAS,82.4,74.84,336550.0
2019-01-07,86.5,87.3,GAS,85.5,76.43,255840.0
2019-01-08,86.3,88.7,GAS,86.3,78.2,600270.0
2019-01-09,89.7,90.4,GAS,89.0,79.62,515500.0
2019-01-10,90.9,92.2,GAS,90.5,80.86,685580.0
2019-01-11,91.4,91.7,GAS,90.1,80.59,338400.0
2019-01-14,90.8,90.8,GAS,89.0,79.26,370320.0
2019-01-15,89.5,90.5,GAS,89.5,79.97,368380.0
2019-01-16,90.6,91.4,GAS,90.3,80.24,198780.0
2019-01-17,91.0,91.0,GAS,89.0,78.82,178680.0
2019-01-18,89.5,89.8,GAS,88.7,78.82,227340.0
2019-01-21,90.8,91.1,GAS,89.5,80.15,257610.0
2019-01-22,90.8,90.9,GAS,89.7,79.44,220970.0
2019-01-23,89.6,90.5,GAS,89.1,79.71,227610.0
2019-01-24,90.1,91.3,GAS,89.8,79.53,332180.0
2019-01-25,89.4,90.3,GAS,89.3,79.26,325280.0
2019-01-28,90.1,90.2,GAS,89.2,79.26,189380.0
2019-01-29,88.6,89.0,GAS,87.5,77.85,309890.0
2019-01-30,88.0,89.0,GAS,88.0,77.94,216190.0
2019-01-31,89.4,89.4,GAS,87.8,77.76,327020.0
2019-02-01,88.3,88.8,GAS,88.0,77.94,329360.0
2019-02-11,88.8,90.5,GAS,87.8,80.15,513260.0
2019-02-12,90.2,92.0,GAS,90.0,80.59,623510.0
2019-02-13,91.8,93.6,GAS,91.6,82.36,571680.0
2019-02-14,93.1,93.7,GAS,92.3,81.92,475450.0
2019-02-15,92.8,94.3,GAS,92.5,83.25,916910.0
2019-02-18,95.5,97.4,GAS,95.0,86.08,971850.0
2019-02-19,97.2,97.9,GAS,95.5,85.02,784000.0
2019-02-20,96.0,96.3,GAS,95.1,85.02,533120.0
2019-02-21,96.0,97.5,GAS,95.7,86.08,1213190.0
2019-02-22,96.6,99.8,GAS,96.1,87.94,876610.0
2019-02-25,100.5,101.0,GAS,99.0,87.85,587600.0
2019-02-26,98.5,98.9,GAS,97.0,86.7,919960.0
2019-02-27,98.2,99.2,GAS,97.7,87.23,475590.0
2019-02-28,99.0,100.8,GAS,98.0,86.97,1014710.0
2019-03-01,99.5,100.0,GAS,98.4,88.56,549800.0
2019-03-04,101.2,103.0,GAS,101.2,91.22,1064060.0
2019-03-05,101.5,105.0,GAS,101.2,92.11,878610.0
2019-03-06,103.1,104.0,GAS,101.5,92.11,607480.0
2019-03-07,104.5,105.5,GAS,103.0,91.22,636880.0
2019-03-08,102.1,102.7,GAS,100.7,89.45,717540.0
2019-03-11,101.0,101.1,GAS,98.9,88.74,497400.0
2019-03-12,102.0,102.0,GAS,100.2,90.25,528030.0
2019-03-13,103.0,103.4,GAS,101.0,89.98,452730.0
2019-03-14,102.5,103.2,GAS,101.6,90.6,746300.0
2019-03-15,102.0,102.1,GAS,101.0,91.78,624450.0
2019-03-18,101.9,104.5,GAS,101.9,93.95,824960.0
2019-03-19,104.9,105.0,GAS,102.5,93.5,754590.0
2019-03-20,103.0,103.0,GAS,101.1,92.32,592690.0
2019-03-21,103.5,103.5,GAS,99.0,89.43,689690.0
2019-03-22,99.9,100.4,GAS,98.7,90.24,715730.0
2019-03-25,96.5,98.2,GAS,95.6,88.71,875550.0
2019-03-26,99.0,99.0,GAS,96.2,87.71,349120.0
2019-03-27,98.6,98.6,GAS,97.1,87.8,371570.0
2019-03-28,96.0,98.6,GAS,96.0,89.07,340660.0
2019-03-29,98.9,99.5,GAS,98.1,88.71,255710.0
2019-04-01,98.5,101.0,GAS,98.5,90.97,433760.0
2019-04-02,102.1,102.6,GAS,101.0,91.24,563160.0
2019-04-03,101.1,101.9,GAS,100.1,91.69,451150.0
2019-04-04,101.9,102.2,GAS,101.2,91.51,379650.0
2019-04-05,101.3,103.8,GAS,101.0,93.77,845350.0
2019-04-08,105.0,107.0,GAS,105.0,96.66,886190.0
2019-04-09,108.0,108.0,GAS,104.5,94.85,705700.0
2019-04-10,104.5,105.7,GAS,103.9,95.03,467860.0
2019-04-11,106.2,106.2,GAS,105.0,94.85,281390.0
2019-04-12,104.5,107.3,GAS,103.7,96.21,393550.0
2019-04-16,105.0,105.8,GAS,104.0,95.12,303000.0
2019-04-17,105.4,107.9,GAS,105.4,96.48,664240.0
2019-04-18,106.5,107.0,GAS,105.3,95.39,265360.0
2019-04-19,107.0,107.6,GAS,105.9,95.93,221520.0
2019-04-22,106.3,110.0,GAS,106.2,98.1,415660.0
2019-04-23,110.0,112.9,GAS,109.5,101.35,743710.0
2019-04-24,112.0,114.9,GAS,112.0,101.35,451460.0
2019-04-25,112.2,113.8,GAS,111.7,102.08,310480.0
2019-04-26,112.2,113.5,GAS,112.0,101.9,155140.0
2019-05-02,112.0,114.5,GAS,111.9,102.98,229350.0
