Date,Open,High,Name,Low,Close,Volume
2018-09-20,38.5,38.85,HDB,38.3,23.55,1453330.0
2018-09-21,38.9,38.95,HDB,38.2,23.55,1531720.0
2018-09-24,38.85,39.3,HDB,38.85,23.64,1568970.0
2018-09-25,38.9,39.05,HDB,38.75,23.58,1583720.0
2018-09-26,38.9,38.95,HDB,38.3,23.39,1776240.0
2018-09-27,38.6,38.85,HDB,38.45,23.36,1612480.0
2018-09-28,38.55,38.95,HDB,38.5,23.55,1933300.0
2018-10-01,38.85,39.75,HDB,38.85,23.88,2572230.0
2018-10-02,39.4,39.5,HDB,39.1,23.76,1651980.0
2018-10-03,39.2,39.5,HDB,39.1,23.91,1658100.0
2018-10-04,39.5,39.65,HDB,38.15,23.48,2438910.0
2018-10-05,38.75,38.85,HDB,38.0,23.03,1302170.0
2018-10-08,37.6,38.0,HDB,37.0,22.91,1623300.0
2018-10-09,37.8,38.0,HDB,37.5,22.85,1567140.0
2018-10-10,37.7,37.9,HDB,37.5,22.91,1622700.0
2018-10-11,36.1,37.0,HDB,35.3,21.88,1148170.0
2018-10-12,35.8,36.65,HDB,35.6,22.12,1451810.0
2018-10-15,36.5,36.55,HDB,34.85,21.51,1388600.0
2018-10-16,35.5,37.0,HDB,35.1,22.42,1748130.0
2018-10-17,37.15,37.4,HDB,37.0,22.51,1543500.0
2018-10-18,37.15,37.15,HDB,36.5,22.39,1439970.0
2018-10-19,36.5,36.5,HDB,35.8,22.0,1584310.0
2018-10-22,36.3,36.85,HDB,36.3,22.12,1527490.0
2018-10-23,36.0,36.5,HDB,35.6,21.82,1139000.0
2018-10-24,36.0,36.25,HDB,35.0,21.21,2303360.0
2018-10-25,34.0,34.5,HDB,34.0,20.79,2373490.0
2018-10-26,34.45,35.15,HDB,34.3,20.85,2942910.0
2018-10-29,34.4,34.65,HDB,33.5,20.67,1778800.0
2018-10-30,34.1,34.35,HDB,33.0,20.12,1712920.0
2018-10-31,33.25,33.45,HDB,32.1,19.88,2159860.0
