Date,Open,High,Name,Low,Close,Volume
2018-09-20,39.9,40.9,HPG,39.7,18.92,9974190.0
2018-09-21,41.0,41.4,HPG,40.65,19.11,14273500.0
2018-09-24,41.7,41.7,HPG,41.1,19.11,4430010.0
2018-09-25,41.25,41.4,HPG,40.85,19.08,4476220.0
2018-09-26,41.25,41.45,HPG,41.0,18.97,5014340.0
2018-09-27,41.2,41.6,HPG,41.1,19.22,5592570.0
2018-09-28,41.6,42.35,HPG,41.5,19.57,9618060.0
2018-10-01,42.3,42.95,HPG,42.05,19.62,6816120.0
2018-10-02,41.75,42.05,HPG,41.15,19.11,10602070.0
2018-10-03,41.0,41.6,HPG,41.0,19.11,4992960.0
2018-10-04,41.2,41.4,HPG,40.9,19.15,11906470.0
2018-10-05,41.4,41.9,HPG,41.2,19.18,6048270.0
2018-10-08,41.2,41.45,HPG,41.05,19.06,3740940.0
2018-10-09,41.5,41.5,HPG,41.0,18.97,3708340.0
2018-10-10,41.1,41.75,HPG,40.95,19.15,6742900.0
2018-10-11,39.9,40.6,HPG,39.3,18.46,15991110.0
2018-10-12,39.4,40.8,HPG,39.4,18.88,6596990.0
2018-10-15,40.7,40.7,HPG,40.2,18.67,4218380.0
2018-10-16,40.35,40.75,HPG,40.35,18.85,2908510.0
2018-10-17,41.0,41.25,HPG,40.85,18.97,5125430.0
2018-10-18,41.0,41.15,HPG,40.7,18.97,4084530.0
2018-10-19,40.7,41.05,HPG,40.4,18.85,4992750.0
2018-10-22,40.8,40.95,HPG,40.1,18.55,2565350.0
2018-10-23,39.95,39.95,HPG,38.9,18.27,10012340.0
2018-10-24,39.2,39.9,HPG,39.2,18.14,5213790.0
2018-10-25,38.0,39.15,HPG,37.85,18.04,7241940.0
2018-10-26,39.3,39.6,HPG,38.9,18.0,5147210.0
2018-10-29,38.65,38.9,HPG,38.6,17.97,4460930.0
2018-10-30,38.6,39.35,HPG,38.6,17.9,2685010.0
2018-10-31,39.1,40.25,HPG,39.05,18.62,4239400.0
2018-11-01,39.9,39.95,HPG,39.4,18.32,2241010.0
2018-11-02,40.0,40.15,HPG,39.8,18.51,3595700.0
2018-11-05,39.6,40.0,HPG,39.5,18.51,2233570.0
2018-11-06,40.1,40.15,HPG,39.6,18.32,1700170.0
2018-11-07,39.6,39.8,HPG,39.15,18.11,2813620.0
2018-11-08,39.85,39.85,HPG,38.9,18.0,2801350.0
2018-11-09,38.6,38.85,HPG,37.6,17.4,5710610.0
2018-11-12,37.6,37.75,HPG,37.15,17.37,2803560.0
2018-11-13,37.0,37.3,HPG,36.8,17.07,5403540.0
2018-11-14,36.85,36.85,HPG,35.25,16.56,8274360.0
2018-11-15,35.5,35.95,HPG,34.75,16.19,6829060.0
2018-11-16,35.5,35.7,HPG,35.05,16.29,2321900.0
2018-11-19,35.5,35.8,HPG,35.15,16.4,1664620.0
2018-11-20,35.6,36.65,HPG,35.4,16.89,5710000.0
2018-11-21,36.05,36.8,HPG,36.0,16.89,3805730.0
2018-11-22,36.6,36.75,HPG,35.8,16.56,2743490.0
2018-11-23,35.8,36.0,HPG,35.5,16.45,2056060.0
2018-11-26,35.6,36.2,HPG,35.55,16.47,2477200.0
2018-11-27,35.8,36.2,HPG,35.6,16.47,1896260.0
2018-11-28,35.7,35.85,HPG,34.95,16.29,4090120.0
2018-11-29,35.4,35.65,HPG,34.2,15.82,4059480.0
2018-11-30,34.0,34.0,HPG,33.2,15.36,7469210.0
2018-12-03,34.0,35.0,HPG,34.0,16.1,3769340.0
2018-12-04,35.0,35.2,HPG,34.25,16.01,4310860.0
2018-12-05,34.35,35.5,HPG,34.25,16.33,8092180.0
2018-12-06,35.1,35.4,HPG,34.5,16.01,4632240.0
2018-12-07,34.9,35.0,HPG,34.55,16.03,3363510.0
2018-12-10,34.5,34.6,HPG,33.65,15.61,5397970.0
2018-12-11,33.6,33.95,HPG,32.8,15.48,6978590.0
2018-12-12,33.5,33.75,HPG,33.0,15.55,3581530.0
2018-12-13,33.85,34.1,HPG,33.7,15.73,5480330.0
2018-12-14,33.95,33.95,HPG,33.4,15.5,3865790.0
2018-12-17,33.5,33.5,HPG,32.4,14.99,4480980.0
2018-12-18,31.7,32.05,HPG,30.65,14.39,8158460.0
2018-12-19,31.1,31.4,HPG,29.0,13.74,10969390.0
2018-12-20,29.6,30.15,HPG,29.3,13.86,6098080.0
2018-12-21,29.3,30.0,HPG,29.3,13.86,4460780.0
2018-12-24,29.95,30.5,HPG,29.95,14.11,3262070.0
2018-12-25,29.65,30.4,HPG,28.95,14.06,4800740.0
2018-12-26,30.4,30.4,HPG,29.75,14.02,3827010.0
2018-12-27,30.85,31.1,HPG,30.3,14.32,4873610.0
2018-12-28,30.8,30.95,HPG,30.5,14.32,7473800.0
2019-01-02,30.8,31.45,HPG,30.8,14.25,4196210.0
2019-01-03,30.75,30.9,HPG,29.5,13.65,6877510.0
2019-01-04,29.4,30.0,HPG,28.7,13.74,5841290.0
2019-01-07,30.3,30.35,HPG,29.15,13.58,2488920.0
2019-01-08,29.4,29.5,HPG,28.7,13.35,3150620.0
2019-01-09,29.0,29.8,HPG,29.0,13.65,1876020.0
2019-01-10,29.6,30.1,HPG,29.5,13.79,1783870.0
2019-01-11,29.8,29.9,HPG,29.35,13.58,2659370.0
2019-01-14,29.4,29.45,HPG,28.85,13.56,3226780.0
2019-01-15,29.3,29.6,HPG,29.15,13.56,2640430.0
2019-01-16,29.45,29.65,HPG,29.15,13.63,2981480.0
2019-01-17,29.45,29.45,HPG,28.9,13.37,1957850.0
2019-01-18,29.3,29.45,HPG,29.15,13.51,2120620.0
2019-01-21,29.3,29.75,HPG,29.2,13.67,1917140.0
2019-01-22,29.7,29.85,HPG,29.45,13.65,1665310.0
2019-01-23,29.4,30.4,HPG,29.35,13.9,3788700.0
2019-01-24,30.1,30.4,HPG,29.85,13.81,2387030.0
