Date,Open,High,Name,Low,Close,Volume
2018-09-21,33.9,33.9,KDH,32.5,21.31,153840.0
2018-09-24,33.2,33.2,KDH,33.0,21.22,95070.0
2018-09-25,33.05,33.1,KDH,32.95,21.22,137280.0
2018-09-26,33.05,33.1,KDH,32.95,21.22,130840.0
2018-09-27,33.05,35.0,KDH,33.05,22.08,434130.0
2018-09-28,34.1,34.9,KDH,34.0,21.83,100660.0
2018-10-01,34.1,34.7,KDH,33.7,22.15,469550.0
2018-10-02,34.4,35.1,KDH,33.65,21.89,374720.0
2018-10-03,34.1,34.2,KDH,34.05,21.89,86470.0
2018-10-04,34.05,34.7,KDH,34.0,22.27,157020.0
2018-10-05,34.75,34.9,KDH,34.4,22.27,101660.0
2018-10-08,34.7,34.7,KDH,34.2,22.08,83670.0
2018-10-09,34.45,34.55,KDH,34.35,22.08,83670.0
2018-10-10,34.4,34.4,KDH,33.85,21.83,50310.0
2018-10-11,32.15,33.6,KDH,31.65,20.64,248860.0
2018-10-12,31.9,33.1,KDH,31.9,21.18,311880.0
2018-10-15,33.0,33.6,KDH,32.9,21.57,294940.0
2018-10-16,33.4,33.4,KDH,32.9,21.25,74130.0
2018-10-17,33.1,33.3,KDH,33.0,21.25,73080.0
2018-10-18,33.1,33.1,KDH,32.7,21.12,77110.0
2018-10-19,32.8,32.95,KDH,32.65,21.09,71090.0
2018-10-22,32.5,32.5,KDH,32.0,20.54,83060.0
2018-10-23,32.0,32.0,KDH,30.0,19.55,332440.0
2018-10-24,30.45,30.8,KDH,30.4,19.58,216860.0
2018-10-25,30.1,30.5,KDH,29.95,19.58,163880.0
2018-10-26,30.5,31.6,KDH,30.45,20.28,301930.0
2018-10-29,31.1,31.4,KDH,30.6,20.16,322020.0
2018-10-30,31.4,31.6,KDH,30.85,20.28,233940.0
2018-10-31,31.5,32.3,KDH,31.2,20.67,285270.0
2018-11-01,32.2,32.4,KDH,31.5,20.35,342300.0
2018-11-02,31.6,31.7,KDH,31.0,20.0,205360.0
2018-11-05,31.05,31.2,KDH,30.85,20.0,137860.0
2018-11-06,31.4,31.4,KDH,30.85,19.8,73550.0
2018-11-07,30.9,30.95,KDH,30.8,19.8,55670.0
2018-11-08,30.9,31.0,KDH,30.8,19.8,58220.0
2018-11-09,30.85,30.9,KDH,30.7,19.77,92010.0
2018-11-12,30.8,30.8,KDH,30.5,19.71,43720.0
2018-11-13,30.7,30.7,KDH,29.9,19.29,117930.0
2018-11-14,30.05,30.2,KDH,30.0,19.39,114480.0
2018-11-15,30.2,30.2,KDH,29.45,19.16,148930.0
2018-11-16,29.85,30.0,KDH,29.8,19.19,88350.0
2018-11-19,29.9,30.05,KDH,29.85,19.19,86810.0
2018-11-20,29.9,29.9,KDH,29.6,19.06,58990.0
2018-11-21,29.7,29.7,KDH,29.0,19.03,170490.0
2018-11-22,29.65,29.75,KDH,29.4,18.94,60940.0
2018-11-23,29.5,29.55,KDH,29.0,18.87,111440.0
2018-11-26,29.15,29.2,KDH,28.1,18.04,147170.0
2018-11-27,28.3,28.5,KDH,27.8,17.85,172080.0
2018-11-28,28.0,29.5,KDH,27.8,18.94,285530.0
2018-11-29,29.7,30.2,KDH,29.7,19.26,151660.0
2018-11-30,29.9,30.1,KDH,29.8,19.29,233560.0
2018-12-03,30.1,31.0,KDH,30.0,19.9,293190.0
2018-12-04,31.0,31.3,KDH,30.9,19.9,239670.0
2018-12-05,30.75,30.9,KDH,30.3,19.51,118780.0
2018-12-06,30.4,30.4,KDH,29.5,19.51,239480.0
2018-12-07,30.35,30.5,KDH,30.3,19.51,125810.0
2018-12-10,30.3,30.35,KDH,29.2,19.19,189160.0
2018-12-11,29.9,29.95,KDH,29.7,19.19,93150.0
2018-12-12,29.9,30.7,KDH,29.85,19.71,395100.0
2018-12-13,30.75,30.8,KDH,30.5,19.74,250510.0
2018-12-14,30.75,30.9,KDH,30.6,19.84,356410.0
2018-12-17,30.9,30.9,KDH,30.35,19.77,123290.0
2018-12-18,30.5,30.7,KDH,30.45,19.71,145510.0
2018-12-19,30.7,30.8,KDH,30.5,19.77,292800.0
2018-12-20,30.75,31.65,KDH,30.55,20.28,674090.0
2018-12-21,31.35,31.4,KDH,30.9,20.16,690070.0
2018-12-24,31.3,31.5,KDH,31.2,20.22,731720.0
2018-12-25,31.1,31.45,KDH,30.4,20.19,578100.0
2018-12-26,31.4,31.45,KDH,31.2,20.19,977380.0
2018-12-27,31.55,32.3,KDH,31.45,20.73,1362850.0
2018-12-28,32.2,33.0,KDH,31.8,21.18,2046440.0
2019-01-02,31.15,32.8,KDH,31.15,20.0,87370.0
2019-01-03,31.0,31.2,KDH,31.0,20.0,251400.0
2019-01-04,31.05,31.15,KDH,29.7,20.0,156980.0
2019-01-07,31.15,31.2,KDH,30.3,19.96,131920.0
2019-01-08,31.0,31.1,KDH,30.6,19.96,171050.0
2019-01-09,31.0,31.05,KDH,30.8,19.84,461130.0
