Date,Open,High,Name,Low,Close,Volume
2018-09-21,22.7,23.05,MBB,22.55,22.95,8952940.0
2018-09-24,23.1,23.4,MBB,23.1,23.2,6826500.0
2018-09-25,22.9,23.3,MBB,22.9,22.9,5973420.0
2018-09-26,22.85,23.25,MBB,22.8,23.0,5566750.0
2018-09-27,23.1,23.1,MBB,22.9,23.0,4363390.0
2018-09-28,23.0,23.4,MBB,22.95,23.1,7395590.0
2018-10-01,23.1,23.4,MBB,22.95,23.1,5220190.0
2018-10-02,23.1,23.15,MBB,22.85,22.9,4892350.0
2018-10-03,22.95,23.1,MBB,22.9,23.1,3420120.0
2018-10-04,23.25,24.3,MBB,23.2,24.0,21454340.0
2018-10-05,24.0,24.25,MBB,23.7,23.7,7423070.0
2018-10-08,23.6,23.85,MBB,23.5,23.75,5122700.0
2018-10-09,23.75,23.8,MBB,23.05,23.05,12851160.0
2018-10-10,22.9,22.95,MBB,22.45,22.75,11204970.0
2018-10-11,21.25,22.2,MBB,21.25,21.25,10786560.0
2018-10-12,21.0,21.95,MBB,21.0,21.8,8482230.0
2018-10-15,21.9,21.9,MBB,21.3,21.3,4251170.0
2018-10-16,21.3,21.9,MBB,21.3,21.75,3525870.0
2018-10-17,21.65,22.1,MBB,21.55,21.65,7054300.0
2018-10-18,21.65,21.65,MBB,21.15,21.15,4181130.0
2018-10-19,20.8,21.35,MBB,20.7,21.0,4184120.0
2018-10-22,21.55,21.7,MBB,21.1,21.1,3925760.0
2018-10-23,21.1,21.6,MBB,20.85,21.4,7564000.0
2018-10-24,21.4,21.6,MBB,21.05,21.05,3211900.0
2018-10-25,20.4,21.05,MBB,20.35,21.0,5386150.0
2018-10-26,21.2,21.45,MBB,20.9,21.05,5230060.0
2018-10-29,21.0,21.3,MBB,20.95,21.25,3861530.0
2018-10-30,21.25,21.7,MBB,21.15,21.35,5457910.0
2018-10-31,21.7,21.9,MBB,21.5,21.9,5037930.0
2018-11-01,21.8,21.9,MBB,21.5,21.5,2787460.0
2018-11-02,21.7,22.15,MBB,21.55,21.8,4290860.0
2018-11-05,21.7,21.95,MBB,21.55,21.85,3077230.0
2018-11-06,22.0,22.0,MBB,21.5,21.5,3581010.0
2018-11-07,21.65,21.65,MBB,21.35,21.5,2783650.0
2018-11-08,21.8,21.8,MBB,21.4,21.4,2147700.0
2018-11-09,21.45,21.45,MBB,20.85,20.9,4471580.0
2018-11-12,20.5,20.95,MBB,20.5,20.8,1643350.0
2018-11-13,20.5,20.7,MBB,20.4,20.55,2827250.0
2018-11-14,20.55,20.7,MBB,20.1,20.25,3922210.0
2018-11-15,20.25,20.9,MBB,20.25,20.45,3299020.0
2018-11-16,20.7,21.35,MBB,20.7,21.25,5174300.0
2018-11-19,21.25,21.35,MBB,21.0,21.3,3227780.0
2018-11-20,21.05,21.2,MBB,20.9,21.1,3828300.0
2018-11-21,20.9,21.35,MBB,20.9,21.35,5091520.0
