Date,Open,High,Name,Low,Close,Volume
2018-09-21,92.5,94.7,MSN,91.0,89.16,3712030.0
2018-09-24,93.0,95.0,MSN,92.9,92.59,558170.0
2018-09-25,94.4,95.9,MSN,93.9,92.49,289760.0
2018-09-26,93.5,94.2,MSN,93.3,91.61,659600.0
2018-09-27,93.5,94.0,MSN,92.0,90.63,442950.0
2018-09-28,93.4,93.4,MSN,91.5,90.93,686950.0
2018-10-01,92.8,93.9,MSN,91.6,92.0,1291940.0
2018-10-02,93.9,94.1,MSN,90.6,92.1,2307220.0
2018-10-03,93.5,93.7,MSN,92.5,91.32,604560.0
2018-10-04,93.3,93.9,MSN,92.8,92.0,1441430.0
2018-10-05,93.8,93.8,MSN,90.9,89.16,1591190.0
2018-10-08,90.4,91.0,MSN,87.6,87.99,1958530.0
2018-10-09,89.8,90.0,MSN,88.0,86.22,669990.0
2018-10-10,88.0,88.0,MSN,84.5,82.79,1323520.0
2018-10-11,78.6,81.9,MSN,78.6,77.01,2375010.0
2018-10-12,75.4,81.3,MSN,75.4,79.66,1444630.0
2018-10-15,81.0,81.0,MSN,78.0,76.91,1242460.0
2018-10-16,78.4,79.2,MSN,77.5,77.01,851250.0
2018-10-17,81.0,81.8,MSN,79.5,79.36,993370.0
2018-10-18,81.0,81.3,MSN,79.8,78.58,644320.0
2018-10-19,79.1,81.0,MSN,78.5,79.36,1119580.0
2018-10-22,81.0,81.4,MSN,79.2,77.6,551610.0
2018-10-23,79.0,79.0,MSN,75.1,75.93,1943490.0
2018-10-24,76.1,77.4,MSN,74.2,73.49,1772610.0
2018-10-25,71.0,77.5,MSN,71.0,75.93,2117680.0
2018-10-26,77.0,77.4,MSN,76.3,74.95,785650.0
2018-10-29,75.0,76.6,MSN,74.7,74.95,728550.0
2018-10-30,75.3,78.7,MSN,75.2,76.42,819270.0
2018-10-31,79.0,83.0,MSN,78.5,81.32,1008000.0
2018-11-01,82.5,83.6,MSN,81.2,80.34,831090.0
2018-11-02,82.7,84.5,MSN,82.0,82.79,993240.0
2018-11-05,82.7,85.2,MSN,82.7,83.48,536740.0
2018-11-06,86.2,87.0,MSN,84.0,82.3,995460.0
2018-11-07,84.5,85.4,MSN,83.7,82.99,892740.0
2018-11-08,85.0,86.0,MSN,84.0,82.79,145850.0
2018-11-09,84.0,84.5,MSN,82.7,82.6,577220.0
2018-11-12,83.1,84.2,MSN,82.4,81.91,241050.0
2018-11-13,82.0,82.1,MSN,79.0,77.4,576150.0
2018-11-14,79.1,80.6,MSN,77.0,77.4,331450.0
2018-11-15,79.8,79.9,MSN,78.4,77.8,383880.0
2018-11-16,80.9,80.9,MSN,79.0,77.99,399900.0
2018-11-19,79.6,82.0,MSN,79.6,80.15,260240.0
2018-11-20,81.2,82.4,MSN,81.2,80.15,334090.0
2018-11-21,80.0,81.5,MSN,80.0,79.56,282090.0
2018-11-22,81.2,82.5,MSN,81.0,80.34,551990.0
2018-11-23,82.0,82.3,MSN,81.5,79.95,450020.0
2018-11-26,81.6,82.3,MSN,81.2,80.44,349670.0
2018-11-27,82.1,83.0,MSN,81.9,80.34,420980.0
2018-11-28,81.6,82.0,MSN,81.0,79.66,323700.0
2018-11-29,82.5,82.5,MSN,81.0,79.36,359660.0
2018-11-30,81.0,81.4,MSN,79.5,78.38,644810.0
2018-12-03,81.5,82.4,MSN,81.3,80.54,739700.0
2018-12-04,82.5,84.5,MSN,82.4,82.4,1138470.0
2018-12-05,83.5,84.1,MSN,82.5,82.4,642600.0
2018-12-06,84.0,85.3,MSN,83.5,82.11,629700.0
2018-12-07,84.0,85.4,MSN,84.0,82.89,811580.0
2018-12-10,84.5,86.0,MSN,84.1,83.87,485360.0
2018-12-11,85.2,86.1,MSN,85.2,84.16,646530.0
2018-12-12,85.9,87.0,MSN,85.2,85.24,377650.0
2018-12-13,88.0,88.2,MSN,86.8,85.34,630690.0
2018-12-14,87.4,87.4,MSN,85.5,83.77,367370.0
2018-12-17,84.2,85.4,MSN,82.0,80.34,605910.0
2018-12-18,80.3,81.4,MSN,80.3,79.56,595370.0
2018-12-19,81.1,82.3,MSN,81.0,79.85,325700.0
2018-12-20,81.0,82.0,MSN,81.0,79.36,337360.0
2018-12-21,80.8,81.9,MSN,78.6,77.01,2407240.0
2018-12-24,80.0,80.9,MSN,79.0,77.4,379150.0
2018-12-25,78.9,80.4,MSN,77.9,78.38,562070.0
2018-12-26,80.0,80.2,MSN,79.0,77.4,577200.0
2018-12-27,80.0,80.5,MSN,79.0,77.4,425950.0
2018-12-28,79.4,80.0,MSN,77.5,75.93,546000.0
2019-01-02,78.6,78.9,MSN,78.2,77.01,433670.0
2019-01-03,78.9,78.9,MSN,77.6,76.42,565640.0
2019-01-04,77.0,77.5,MSN,75.5,74.66,463070.0
2019-01-07,78.1,78.5,MSN,77.2,76.62,336380.0
2019-01-08,78.2,79.1,MSN,78.1,77.4,279810.0
2019-01-09,79.0,79.8,MSN,78.9,77.4,339530.0
2019-01-10,79.0,81.1,MSN,79.0,78.58,450900.0
2019-01-11,80.3,81.2,MSN,80.0,79.07,452300.0
2019-01-14,80.7,81.3,MSN,80.3,78.87,268810.0
2019-01-15,80.6,82.0,MSN,80.4,80.25,403800.0
2019-01-16,81.4,82.6,MSN,81.4,79.76,483100.0
2019-01-17,81.3,82.1,MSN,80.2,78.58,320060.0
2019-01-18,80.2,81.4,MSN,80.2,79.36,359080.0
2019-01-21,81.0,81.3,MSN,80.6,79.17,266000.0
2019-01-22,80.8,80.9,MSN,80.1,78.48,115780.0
2019-01-23,80.1,80.1,MSN,78.0,76.42,707690.0
2019-01-24,78.7,78.9,MSN,77.5,76.42,435690.0
2019-01-25,78.0,78.6,MSN,77.8,76.72,677540.0
2019-01-28,78.3,79.3,MSN,78.3,77.5,749070.0
2019-01-29,80.0,80.0,MSN,79.2,77.89,604480.0
2019-01-30,79.1,79.6,MSN,79.1,77.5,591400.0
2019-01-31,79.4,79.6,MSN,77.7,76.13,721900.0
2019-02-01,78.0,78.6,MSN,77.5,76.82,679540.0
2019-02-11,79.9,82.2,MSN,79.8,78.58,1094450.0
2019-02-12,81.5,83.0,MSN,80.8,80.64,1032810.0
2019-02-13,82.3,85.9,MSN,82.3,84.16,1361490.0
2019-02-14,85.9,86.4,MSN,84.0,84.26,1451830.0
2019-02-15,85.8,85.8,MSN,84.6,82.99,779850.0
2019-02-18,85.0,85.5,MSN,84.9,83.67,659240.0
2019-02-19,85.1,86.6,MSN,85.1,84.75,1121720.0
2019-02-20,86.0,86.4,MSN,85.8,84.26,1131460.0
2019-02-21,86.3,89.9,MSN,86.3,87.89,2224960.0
2019-02-22,89.9,91.0,MSN,88.4,86.61,1234210.0
2019-02-25,92.0,92.0,MSN,90.5,89.36,1139980.0
2019-02-26,91.0,91.2,MSN,88.4,88.18,902730.0
2019-02-27,90.1,90.9,MSN,89.8,88.08,788910.0
2019-02-28,89.9,89.9,MSN,88.5,87.1,835220.0
2019-03-01,89.0,89.2,MSN,88.2,87.2,683440.0
2019-03-04,89.1,91.4,MSN,89.0,87.69,1284390.0
2019-03-05,89.5,90.9,MSN,89.3,87.59,772090.0
2019-03-06,90.0,90.2,MSN,89.3,88.18,695520.0
2019-03-07,90.7,91.0,MSN,89.8,88.18,947510.0
2019-03-08,89.1,90.0,MSN,88.5,87.99,469730.0
2019-03-11,88.1,89.7,MSN,88.1,87.79,602350.0
2019-03-12,89.6,90.0,MSN,88.1,86.71,653990.0
2019-03-13,88.5,89.5,MSN,88.5,87.2,1014640.0
2019-03-14,89.0,89.3,MSN,88.6,86.81,201760.0
2019-03-15,88.6,89.0,MSN,85.3,84.75,1372560.0
2019-03-18,86.5,87.6,MSN,84.8,85.05,766250.0
2019-03-19,87.3,87.3,MSN,86.0,85.24,442460.0
2019-03-20,85.2,86.2,MSN,84.0,83.28,591560.0
2019-03-21,85.1,85.4,MSN,84.3,83.28,665060.0
2019-03-22,84.9,85.3,MSN,84.5,82.79,759190.0
2019-03-25,83.0,83.7,MSN,82.1,80.54,488150.0
2019-03-26,82.2,84.0,MSN,82.2,81.42,488320.0
2019-03-27,83.1,85.2,MSN,83.1,83.28,455910.0
2019-03-28,85.0,85.0,MSN,84.2,83.28,395730.0
2019-03-29,85.0,86.9,MSN,84.3,82.6,756010.0
2019-04-01,85.6,88.0,MSN,85.2,86.22,515710.0
2019-04-02,88.3,88.6,MSN,86.3,86.32,393200.0
2019-04-03,88.1,88.1,MSN,87.0,85.93,303680.0
2019-04-04,87.1,88.1,MSN,87.1,86.03,336280.0
2019-04-05,87.8,88.8,MSN,87.8,86.52,231110.0
2019-04-08,88.0,88.5,MSN,85.8,86.52,582440.0
2019-04-09,88.7,88.7,MSN,87.0,85.73,280380.0
2019-04-10,85.2,87.0,MSN,85.2,84.95,292050.0
2019-04-11,86.7,88.0,MSN,86.7,85.93,188220.0
2019-04-12,87.8,88.1,MSN,87.0,86.03,95630.0
2019-04-16,86.0,88.1,MSN,85.4,86.03,290800.0
2019-04-17,87.8,88.1,MSN,87.0,86.22,730310.0
