Date,Open,High,Name,Low,Close,Volume
2018-09-21,121.9,126.0,MWG,121.5,91.62,1257670.0
2018-09-24,126.0,127.5,MWG,126.0,92.13,572820.0
2018-09-25,126.3,126.7,MWG,125.5,91.84,498320.0
2018-09-26,126.0,126.8,MWG,125.0,90.89,650080.0
2018-09-27,125.3,128.0,MWG,124.2,93.08,770310.0
2018-09-28,128.5,129.9,MWG,127.2,92.49,642710.0
2018-10-01,127.0,127.9,MWG,126.6,92.35,489970.0
2018-10-02,127.0,128.3,MWG,126.7,92.35,486880.0
2018-10-03,126.9,128.1,MWG,126.7,93.15,473490.0
2018-10-04,128.3,130.0,MWG,128.3,93.73,467720.0
2018-10-05,129.0,130.0,MWG,126.5,91.98,605250.0
2018-10-08,126.5,129.0,MWG,126.3,93.08,660700.0
2018-10-09,128.1,130.6,MWG,128.1,94.17,823360.0
2018-10-10,130.0,131.0,MWG,129.3,95.26,576480.0
2018-10-11,124.5,129.0,MWG,124.5,90.53,1579640.0
2018-10-12,124.1,127.5,MWG,124.1,92.71,617790.0
2018-10-15,127.6,127.6,MWG,125.0,91.26,803450.0
2018-10-16,125.0,127.4,MWG,125.0,92.64,298340.0
2018-10-17,128.0,129.5,MWG,127.6,93.08,360430.0
2018-10-18,128.3,128.5,MWG,126.3,91.98,389170.0
2018-10-19,125.5,126.3,MWG,124.4,90.97,467910.0
2018-10-22,126.0,126.4,MWG,124.7,90.68,271340.0
2018-10-23,124.0,124.0,MWG,118.0,86.89,832020.0
2018-10-24,119.5,121.1,MWG,116.5,84.71,508800.0
2018-10-25,110.5,115.5,MWG,110.5,82.17,590330.0
2018-10-26,115.0,115.2,MWG,108.0,78.53,849040.0
2018-10-29,108.0,109.4,MWG,104.6,76.13,941930.0
2018-10-30,105.0,108.6,MWG,104.7,77.88,580920.0
2018-10-31,108.1,112.8,MWG,108.1,82.02,383980.0
2018-11-01,113.0,113.5,MWG,110.0,80.35,499610.0
2018-11-02,112.9,113.5,MWG,111.0,81.8,504810.0
2018-11-05,111.4,111.9,MWG,109.5,81.0,293080.0
2018-11-06,112.5,112.5,MWG,110.5,81.0,218730.0
2018-11-07,112.5,113.4,MWG,111.0,81.44,643430.0
2018-11-08,111.0,112.0,MWG,108.3,79.99,604530.0
2018-11-09,110.0,112.0,MWG,106.0,77.08,477280.0
2018-11-12,106.0,110.5,MWG,106.0,79.99,304040.0
2018-11-13,108.2,109.0,MWG,107.5,78.31,317270.0
2018-11-14,107.9,109.2,MWG,107.3,78.02,158520.0
2018-11-15,108.0,109.3,MWG,107.0,77.81,292820.0
2018-11-16,108.0,110.0,MWG,107.0,77.95,631250.0
2018-11-19,82.2,84.7,MWG,82.2,82.12,674870.0
2018-11-20,84.7,84.7,MWG,83.8,81.73,205300.0
2018-11-21,83.2,85.0,MWG,83.2,82.22,342490.0
2018-11-22,85.8,86.4,MWG,85.6,83.19,284960.0
2018-11-23,85.8,86.0,MWG,84.0,81.44,275770.0
2018-11-26,84.0,85.6,MWG,84.0,82.41,243680.0
2018-11-27,85.5,85.7,MWG,84.3,81.83,170510.0
2018-11-28,84.5,84.9,MWG,84.2,82.02,177110.0
2018-11-29,85.0,85.5,MWG,84.5,82.41,301730.0
2018-11-30,84.6,85.1,MWG,84.0,81.93,319650.0
2018-12-03,85.5,88.0,MWG,85.0,85.32,881770.0
2018-12-04,88.5,88.7,MWG,87.7,85.32,350360.0
2018-12-05,87.3,89.3,MWG,86.9,86.09,391320.0
2018-12-06,88.0,89.5,MWG,87.5,85.22,485380.0
2018-12-07,87.9,89.0,MWG,87.9,85.9,498460.0
