Date,Open,High,Name,Low,Close,Volume
2018-09-19,67.3,67.4,NVL,66.0,47.71,154640.0
2018-09-20,66.0,66.1,NVL,64.0,46.63,248400.0
2018-09-21,64.7,65.0,NVL,60.0,43.37,5031320.0
2018-09-24,63.5,64.1,NVL,63.0,46.34,403450.0
2018-09-25,65.1,67.0,NVL,64.1,47.06,377310.0
2018-09-26,64.0,65.2,NVL,63.0,46.84,698710.0
2018-09-27,65.0,67.0,NVL,64.5,48.07,670940.0
2018-09-28,66.5,66.8,NVL,65.5,48.07,924590.0
2018-10-01,66.5,66.6,NVL,64.5,46.84,541970.0
2018-10-02,64.0,64.8,NVL,63.9,46.48,228580.0
2018-10-03,64.0,64.4,NVL,63.2,46.26,247900.0
2018-10-04,63.8,64.0,NVL,63.2,46.26,187640.0
2018-10-05,64.0,64.0,NVL,63.1,46.12,220250.0
2018-10-08,63.8,64.0,NVL,63.0,45.9,1031380.0
2018-10-09,63.3,65.0,NVL,63.3,46.91,414530.0
2018-10-10,65.1,65.1,NVL,63.4,46.26,1124690.0
2018-10-11,63.8,66.0,NVL,62.8,46.12,467850.0
2018-10-12,63.8,68.2,NVL,63.5,49.16,847500.0
2018-10-15,68.0,71.0,NVL,66.6,50.46,645190.0
2018-10-16,69.8,73.0,NVL,69.5,52.62,1088120.0
2018-10-17,73.4,73.5,NVL,71.0,53.06,877860.0
2018-10-18,73.3,73.3,NVL,71.5,52.12,179250.0
2018-10-19,72.5,72.5,NVL,69.1,50.6,935230.0
2018-10-22,70.0,71.1,NVL,70.0,51.32,304330.0
2018-10-23,71.0,71.0,NVL,69.4,51.25,454190.0
2018-10-24,70.9,73.5,NVL,70.1,52.7,987660.0
2018-10-25,72.8,74.5,NVL,71.0,53.85,936470.0
2018-10-26,74.0,74.7,NVL,72.0,52.84,997510.0
2018-10-29,73.1,73.1,NVL,70.1,51.47,185440.0
2018-10-30,70.9,70.9,NVL,68.7,50.75,278100.0
2018-10-31,70.1,71.1,NVL,69.9,51.4,420240.0
2018-11-01,71.1,71.9,NVL,70.1,51.32,162470.0
2018-11-02,71.0,71.2,NVL,70.5,51.4,483030.0
2018-11-05,71.1,71.1,NVL,69.5,50.53,127620.0
2018-11-06,69.9,70.3,NVL,69.5,50.46,142280.0
2018-11-07,69.7,69.8,NVL,68.8,50.02,177680.0
2018-11-08,69.3,69.9,NVL,68.2,49.88,543910.0
2018-11-09,69.0,70.4,NVL,68.5,50.67,154360.0
2018-11-12,70.0,70.8,NVL,68.6,51.11,195640.0
2018-11-13,70.4,71.2,NVL,69.5,51.25,164260.0
2018-11-14,70.9,72.2,NVL,70.5,51.25,412410.0
2018-11-15,70.9,73.0,NVL,70.8,52.05,444090.0
2018-11-16,72.1,72.2,NVL,69.0,50.38,178570.0
2018-11-19,69.7,69.9,NVL,69.0,50.17,122050.0
2018-11-20,69.1,69.4,NVL,67.0,50.02,145050.0
2018-11-21,68.6,69.1,NVL,67.6,48.87,153580.0
2018-11-22,67.6,69.0,NVL,67.6,48.94,137410.0
2018-11-23,67.7,68.5,NVL,67.2,49.23,112880.0
2018-11-26,68.1,69.0,NVL,67.2,49.81,145300.0
2018-11-27,68.9,69.8,NVL,67.8,49.16,459790.0
2018-11-28,68.7,69.5,NVL,68.0,49.95,207450.0
2018-11-29,69.2,69.5,NVL,68.7,50.02,222580.0
2018-11-30,69.2,69.4,NVL,67.2,49.23,368790.0
2018-12-03,68.1,69.1,NVL,68.1,49.37,264730.0
2018-12-04,68.4,68.5,NVL,67.5,49.08,257820.0
2018-12-05,67.9,67.9,NVL,67.0,48.65,323630.0
2018-12-06,67.0,69.4,NVL,67.0,49.16,275540.0
2018-12-07,68.2,69.0,NVL,68.2,49.52,294760.0
2018-12-10,68.0,68.5,NVL,67.9,49.37,250580.0
2018-12-11,68.0,68.3,NVL,67.0,49.23,230450.0
2018-12-12,68.0,69.1,NVL,67.7,49.16,247380.0
