Date,Open,High,Name,Low,Close,Volume
2018-09-21,25.5,26.7,PDR,25.5,13.72,1573450.0
2018-09-24,26.6,26.8,PDR,26.3,13.87,1701190.0
2018-09-25,26.3,26.6,PDR,26.25,13.77,1802250.0
2018-09-26,26.0,27.0,PDR,26.0,13.87,2004350.0
2018-09-27,26.5,26.6,PDR,26.2,13.82,1717010.0
2018-09-28,26.45,27.55,PDR,26.3,14.4,2121470.0
2018-10-01,27.5,27.9,PDR,27.25,14.27,1690610.0
2018-10-02,27.15,27.5,PDR,26.9,14.24,1442480.0
2018-10-03,27.2,27.4,PDR,27.0,14.32,1546640.0
2018-10-04,27.35,27.35,PDR,26.7,14.13,1343660.0
2018-10-05,27.0,27.1,PDR,26.5,13.87,996560.0
2018-10-08,26.45,26.65,PDR,26.2,13.77,1410750.0
2018-10-09,26.3,26.95,PDR,26.25,14.0,1508700.0
2018-10-10,26.75,27.1,PDR,26.6,13.98,1106340.0
2018-10-11,25.5,26.0,PDR,25.45,13.35,1268670.0
2018-10-12,25.4,26.3,PDR,25.35,13.64,1423680.0
2018-10-15,26.05,26.15,PDR,25.6,13.64,900940.0
2018-10-16,26.05,26.55,PDR,26.05,13.85,1664220.0
2018-10-17,26.55,26.8,PDR,26.45,13.9,1442480.0
2018-10-18,26.5,26.7,PDR,26.3,13.82,1151940.0
2018-10-19,26.3,26.5,PDR,26.1,13.87,1249600.0
2018-10-22,26.5,26.5,PDR,25.95,13.85,1030780.0
2018-10-23,26.45,26.45,PDR,25.8,13.85,912350.0
2018-10-24,26.4,26.5,PDR,26.2,13.77,1392330.0
2018-10-25,25.9,26.85,PDR,25.7,14.06,1636820.0
2018-10-26,26.9,27.05,PDR,26.6,14.06,1112150.0
2018-10-29,26.8,26.8,PDR,26.0,13.61,1435440.0
2018-10-30,26.0,26.1,PDR,25.75,13.61,1327200.0
2018-10-31,26.05,26.4,PDR,26.0,13.82,1282310.0
2018-11-01,26.4,26.55,PDR,26.25,13.82,1121660.0
2018-11-02,26.45,27.0,PDR,26.35,14.08,2268040.0
2018-11-05,26.85,26.85,PDR,26.45,14.03,1335870.0
2018-11-06,26.8,26.95,PDR,26.55,14.03,1114630.0
2018-11-07,26.8,26.8,PDR,26.45,13.98,940630.0
2018-11-08,26.75,26.9,PDR,26.55,13.95,1530620.0
2018-11-09,26.55,26.6,PDR,26.4,13.87,1209440.0
2018-11-12,26.5,26.5,PDR,26.2,13.87,1396160.0
