Date,Open,High,Name,Low,Close,Volume
2018-09-21,71.6,71.7,PLX,70.5,62.08,1786260.0
2018-09-24,71.3,73.1,PLX,71.0,64.01,1223920.0
2018-09-25,73.1,73.9,PLX,72.9,64.1,842810.0
2018-09-26,73.1,73.1,PLX,72.0,63.13,1070320.0
2018-09-27,72.0,72.5,PLX,71.5,63.22,786580.0
2018-09-28,72.0,72.7,PLX,71.0,62.26,798310.0
2018-10-01,71.0,72.6,PLX,70.9,62.78,905790.0
2018-10-02,72.1,72.4,PLX,70.5,62.26,640350.0
2018-10-03,71.0,71.1,PLX,70.5,61.99,461970.0
2018-10-04,71.7,71.7,PLX,70.7,62.7,501260.0
2018-10-05,71.0,71.4,PLX,69.0,60.5,761890.0
2018-10-08,68.8,69.0,PLX,66.5,58.58,1448090.0
2018-10-09,67.5,67.7,PLX,67.0,58.84,547390.0
2018-10-10,67.7,67.7,PLX,66.8,58.75,431240.0
2018-10-11,62.9,65.0,PLX,62.4,55.16,1631410.0
2018-10-12,62.0,64.4,PLX,62.0,56.3,808250.0
2018-10-15,64.4,64.4,PLX,62.0,54.98,556180.0
2018-10-16,62.7,63.8,PLX,62.5,55.59,392600.0
2018-10-17,63.4,64.9,PLX,63.1,55.59,832180.0
2018-10-18,63.4,63.5,PLX,62.1,55.24,208850.0
2018-10-19,62.1,62.4,PLX,60.8,54.37,480870.0
2018-10-22,62.0,62.8,PLX,60.4,52.96,458870.0
2018-10-23,60.5,60.5,PLX,56.9,50.86,753750.0
2018-10-24,57.4,58.5,PLX,55.8,48.93,669070.0
2018-10-25,53.4,57.3,PLX,53.4,50.24,1015970.0
2018-10-26,58.9,58.9,PLX,57.7,50.6,746900.0
2018-10-29,57.0,57.7,PLX,56.4,49.98,368560.0
2018-10-30,56.0,58.4,PLX,55.9,50.16,521300.0
2018-10-31,57.7,59.7,PLX,57.7,52.17,758610.0
2018-11-01,59.3,60.0,PLX,58.0,50.95,420040.0
2018-11-02,58.5,60.8,PLX,58.4,52.7,653960.0
2018-11-05,59.5,61.4,PLX,59.1,53.49,515190.0
2018-11-06,61.5,61.7,PLX,60.3,52.88,542890.0
2018-11-07,60.3,60.5,PLX,58.7,52.17,681890.0
2018-11-08,60.0,60.3,PLX,59.4,52.09,363900.0
2018-11-09,59.5,59.6,PLX,57.0,49.98,630020.0
2018-11-12,56.6,57.9,PLX,55.7,50.68,410770.0
2018-11-13,56.5,57.3,PLX,56.4,49.54,333320.0
2018-11-14,56.1,57.0,PLX,54.8,48.23,787180.0
2018-11-15,56.0,56.1,PLX,54.8,48.23,481290.0
2018-11-16,56.0,56.8,PLX,55.5,49.46,412310.0
2018-11-19,57.2,59.0,PLX,57.1,51.74,461690.0
2018-11-20,58.2,59.0,PLX,58.0,51.3,374070.0
2018-11-21,57.0,58.2,PLX,57.0,50.86,341850.0
2018-11-22,58.7,58.7,PLX,57.7,50.86,280490.0
2018-11-23,58.0,59.4,PLX,57.6,51.03,482860.0
2018-11-26,58.1,58.1,PLX,57.5,50.95,188040.0
2018-11-27,58.2,58.8,PLX,57.6,50.95,262840.0
2018-11-28,58.0,58.4,PLX,57.6,51.12,214830.0
2018-11-29,58.9,58.9,PLX,57.4,50.33,318590.0
2018-11-30,57.4,58.0,PLX,57.2,50.86,210900.0
2018-12-03,59.2,61.2,PLX,58.6,53.49,992630.0
2018-12-04,61.0,61.7,PLX,60.3,53.23,603600.0
2018-12-05,60.2,61.9,PLX,59.7,53.31,853640.0
2018-12-06,61.0,61.4,PLX,59.9,53.05,496010.0
2018-12-07,60.5,61.3,PLX,60.5,53.58,379550.0
2018-12-10,61.3,61.8,PLX,61.0,53.84,508290.0
2018-12-11,61.3,61.5,PLX,60.6,53.4,279840.0
2018-12-12,61.4,61.4,PLX,60.8,53.66,314290.0
2018-12-13,61.3,61.9,PLX,61.0,53.49,402150.0
2018-12-14,61.0,61.6,PLX,59.9,52.61,643270.0
2018-12-17,59.8,59.9,PLX,57.0,49.98,612200.0
2018-12-18,56.9,57.5,PLX,56.2,49.81,766910.0
2018-12-19,56.3,56.8,PLX,55.5,48.93,749450.0
2018-12-20,55.5,56.5,PLX,55.5,49.02,303240.0
2018-12-21,55.8,57.1,PLX,55.0,50.07,400060.0
2018-12-24,57.0,57.1,PLX,56.3,49.63,241060.0
2018-12-25,56.0,56.0,PLX,54.7,48.49,594180.0
2018-12-26,55.3,56.0,PLX,55.2,48.4,185570.0
2018-12-27,56.8,56.8,PLX,56.0,49.28,254840.0
2018-12-28,56.2,56.4,PLX,53.0,46.47,580760.0
2019-01-02,54.4,55.5,PLX,54.0,47.7,380020.0
2019-01-03,54.4,55.0,PLX,52.5,47.0,450490.0
2019-01-04,53.0,55.2,PLX,53.0,48.14,302070.0
2019-01-07,55.5,55.7,PLX,55.1,48.4,187920.0
2019-01-08,55.5,55.5,PLX,53.3,47.44,352050.0
2019-01-09,54.9,55.2,PLX,54.0,47.53,343920.0
2019-01-10,54.8,55.3,PLX,54.4,48.32,280830.0
2019-01-11,55.4,56.0,PLX,55.0,48.49,337760.0
2019-01-14,55.3,55.5,PLX,54.1,48.14,125040.0
2019-01-15,54.9,55.8,PLX,54.6,48.49,230330.0
2019-01-16,55.5,56.3,PLX,55.4,48.67,252480.0
2019-01-17,55.5,55.7,PLX,54.7,47.96,197100.0
2019-01-18,54.7,55.2,PLX,54.4,47.7,188280.0
2019-01-21,55.0,55.9,PLX,54.3,48.49,273200.0
2019-01-22,55.0,55.0,PLX,53.4,46.91,729490.0
2019-01-23,53.0,53.9,PLX,53.0,46.65,486420.0
2019-01-24,53.2,53.8,PLX,53.1,46.65,653530.0
2019-01-25,53.2,53.9,PLX,53.2,47.18,169160.0
2019-01-28,54.0,54.2,PLX,53.4,46.91,516670.0
2019-01-29,53.4,53.6,PLX,53.1,46.91,311730.0
2019-01-30,53.5,53.7,PLX,53.3,46.74,452470.0
2019-01-31,54.0,54.6,PLX,53.3,47.26,911200.0
2019-02-01,53.6,54.2,PLX,53.5,46.91,1199400.0
2019-02-11,54.5,55.6,PLX,54.2,48.75,746520.0
2019-02-12,56.0,56.3,PLX,55.4,48.84,957300.0
2019-02-13,55.7,57.3,PLX,55.7,50.07,1941970.0
2019-02-14,57.0,57.4,PLX,56.6,49.72,1004440.0
2019-02-15,56.7,57.6,PLX,56.5,49.72,1351010.0
2019-02-18,57.0,59.0,PLX,57.0,51.74,2268090.0
2019-02-19,58.8,59.0,PLX,57.5,50.6,1293550.0
2019-02-20,57.7,57.7,PLX,56.6,49.81,927820.0
2019-02-21,56.9,58.4,PLX,56.9,51.12,1723040.0
2019-02-22,57.8,59.0,PLX,57.8,51.3,1129680.0
2019-02-25,59.0,59.4,PLX,58.6,51.38,1366700.0
2019-02-26,58.4,58.5,PLX,57.0,49.98,1456500.0
2019-02-27,57.5,57.6,PLX,56.4,49.72,1784860.0
2019-02-28,57.0,57.5,PLX,56.3,49.54,2532900.0
2019-03-01,56.5,58.7,PLX,56.5,51.38,2076360.0
2019-03-04,58.6,60.8,PLX,58.6,52.96,3433740.0
2019-03-05,59.9,60.6,PLX,59.1,52.09,2693520.0
2019-03-06,59.5,61.5,PLX,59.4,53.93,3156200.0
2019-03-07,61.5,62.0,PLX,60.9,53.49,1802470.0
2019-03-08,60.4,61.5,PLX,60.2,53.05,2534770.0
2019-03-11,60.5,60.7,PLX,59.8,52.96,2131290.0
2019-03-12,61.2,62.0,PLX,60.8,54.37,2858810.0
2019-03-13,62.0,62.8,PLX,61.6,54.19,2346380.0
2019-03-14,62.5,62.5,PLX,61.0,53.66,1532650.0
2019-03-15,61.2,62.6,PLX,60.9,54.72,2274270.0
2019-03-18,62.4,63.3,PLX,61.7,54.8,1714570.0
2019-03-19,62.5,62.8,PLX,61.8,54.45,1816150.0
2019-03-20,61.7,62.0,PLX,60.8,54.1,1699650.0
2019-03-21,62.0,62.2,PLX,58.0,52.17,2115260.0
2019-03-22,59.9,59.9,PLX,58.9,51.74,1606140.0
2019-03-25,57.9,58.5,PLX,57.4,50.86,1861980.0
2019-03-26,58.9,58.9,PLX,57.5,50.6,1212450.0
2019-03-27,58.9,59.0,PLX,58.0,51.56,621860.0
2019-03-28,58.4,59.7,PLX,58.0,52.17,836530.0
2019-03-29,59.5,60.0,PLX,59.3,52.09,1256540.0
2019-04-01,59.7,61.0,PLX,59.7,53.49,1200470.0
2019-04-02,61.5,61.7,PLX,60.2,52.88,655270.0
2019-04-03,60.3,61.1,PLX,60.2,53.31,829910.0
2019-04-04,60.8,61.1,PLX,60.6,53.31,608720.0
2019-04-05,60.8,61.5,PLX,60.6,53.84,773290.0
2019-04-08,62.0,62.7,PLX,61.5,54.89,1412570.0
2019-04-09,63.0,63.0,PLX,61.8,54.19,1635520.0
2019-04-10,61.3,61.8,PLX,60.7,53.49,830410.0
2019-04-11,61.3,61.3,PLX,60.6,53.31,607620.0
2019-04-12,60.5,61.1,PLX,60.3,53.49,424050.0
