Date,Open,High,Name,Low,Close,Volume
2018-09-21,99.4,101.6,PNJ,99.4,71.79,684370.0
2018-09-24,102.9,103.3,PNJ,102.0,72.36,448020.0
2018-09-25,103.5,104.2,PNJ,101.1,73.13,663540.0
2018-09-26,103.1,103.9,PNJ,102.5,72.43,400590.0
2018-09-27,102.5,103.3,PNJ,101.9,72.64,277900.0
2018-09-28,102.8,106.2,PNJ,102.8,74.55,1264710.0
2018-10-01,105.5,107.5,PNJ,104.0,74.26,603020.0
2018-10-02,105.0,106.1,PNJ,104.6,73.91,477400.0
2018-10-03,105.4,107.9,PNJ,104.7,76.17,837480.0
2018-10-04,108.0,109.7,PNJ,107.9,76.31,554870.0
2018-10-05,108.0,109.0,PNJ,106.5,75.4,560060.0
2018-10-08,106.0,107.8,PNJ,105.6,75.4,356800.0
2018-10-09,107.4,109.5,PNJ,107.0,76.74,529550.0
2018-10-10,109.0,109.7,PNJ,108.7,77.51,468510.0
2018-10-11,102.2,106.5,PNJ,102.2,72.22,1921600.0
2018-10-12,99.7,105.8,PNJ,99.7,74.76,877550.0
2018-10-15,105.8,105.8,PNJ,102.0,72.43,729640.0
2018-10-16,102.5,103.9,PNJ,102.1,73.2,397230.0
2018-10-17,104.0,105.8,PNJ,104.0,73.49,406450.0
2018-10-18,103.6,105.3,PNJ,103.0,73.49,284180.0
2018-10-19,102.0,104.5,PNJ,101.5,73.63,490740.0
2018-10-22,104.9,105.6,PNJ,101.5,71.72,468070.0
2018-10-23,100.7,101.4,PNJ,97.8,69.95,720520.0
2018-10-24,99.7,100.5,PNJ,96.0,67.83,495030.0
2018-10-25,91.0,96.0,PNJ,90.5,67.06,732890.0
2018-10-26,96.9,96.9,PNJ,92.6,65.43,483170.0
2018-10-29,92.0,92.8,PNJ,90.1,63.67,347860.0
2018-10-30,90.1,92.5,PNJ,90.1,64.73,465990.0
2018-10-31,95.0,97.0,PNJ,93.5,68.54,395130.0
2018-11-01,96.6,97.6,PNJ,95.0,67.13,405070.0
2018-11-02,96.0,98.8,PNJ,95.5,69.6,490040.0
2018-11-05,97.5,98.5,PNJ,96.1,69.6,279570.0
2018-11-06,99.8,99.8,PNJ,96.8,68.54,249410.0
2018-11-07,97.5,97.5,PNJ,95.5,67.98,306160.0
2018-11-08,98.0,98.0,PNJ,96.5,68.33,174860.0
2018-11-09,96.0,96.7,PNJ,94.0,66.42,388720.0
2018-11-12,93.2,95.0,PNJ,92.8,67.13,151340.0
2018-11-13,93.5,94.4,PNJ,93.1,66.07,218020.0
2018-11-14,93.5,94.1,PNJ,92.2,66.07,216870.0
2018-11-15,93.1,94.0,PNJ,91.9,65.01,210550.0
2018-11-16,93.0,94.2,PNJ,92.4,65.71,215030.0
2018-11-19,93.8,94.9,PNJ,93.5,67.06,298320.0
2018-11-20,94.9,96.2,PNJ,94.4,67.55,296690.0
2018-11-21,94.9,95.9,PNJ,94.1,67.48,360260.0
2018-11-22,95.8,96.7,PNJ,95.7,68.12,316850.0
2018-11-23,96.5,96.7,PNJ,95.1,67.2,186930.0
