Date,Open,High,Name,Low,Close,Volume
2018-09-07,13.7,14.2,POW,13.7,13.67,1986280.0
2018-09-10,14.2,14.6,POW,14.1,14.16,4048811.0
2018-09-11,14.6,15.0,POW,12.4,14.55,4406265.0
2018-09-12,15.0,15.1,POW,14.7,14.26,1712540.0
2018-09-13,14.7,14.9,POW,14.6,14.26,1475238.0
2018-09-14,14.6,15.0,POW,14.6,14.35,1299603.0
2018-09-17,14.8,15.3,POW,14.8,14.64,2722172.0
2018-09-18,15.1,15.1,POW,14.9,14.64,2865790.0
2018-09-19,15.1,15.4,POW,14.9,14.84,2621699.0
2018-09-20,15.4,16.4,POW,15.4,15.81,4010545.0
2018-09-21,16.5,16.5,POW,15.5,15.42,3322352.0
2018-09-24,15.9,16.1,POW,15.7,15.42,1859443.0
2018-09-25,15.8,16.3,POW,15.8,15.61,2615932.0
2018-09-26,16.1,16.2,POW,15.9,15.52,2119376.0
2018-09-27,16.0,16.2,POW,15.9,15.71,2097285.0
2018-09-28,16.2,16.7,POW,16.2,16.2,5984645.0
2018-10-01,16.7,16.9,POW,16.4,16.0,3473515.0
2018-10-02,16.7,16.8,POW,16.4,16.1,4365303.0
2018-10-03,16.5,16.7,POW,16.4,16.1,1705816.0
2018-10-04,16.8,16.8,POW,16.4,16.0,3301577.0
2018-10-05,16.5,16.5,POW,15.8,15.42,3367523.0
2018-10-08,16.1,16.1,POW,15.4,15.03,2445695.0
2018-10-09,15.5,15.6,POW,15.0,14.74,2149499.0
2018-10-10,15.3,15.6,POW,15.1,15.03,1646091.0
2018-10-11,15.2,15.3,POW,13.8,13.97,4019253.0
2018-10-12,14.1,15.2,POW,13.8,14.64,2866537.0
2018-10-15,15.1,15.2,POW,14.7,14.35,1275500.0
2018-10-16,14.9,15.0,POW,14.5,14.16,1852950.0
2018-10-17,14.8,15.2,POW,14.7,14.35,989425.0
2018-10-18,14.8,14.9,POW,14.4,13.97,1474055.0
2018-10-19,14.4,14.4,POW,14.1,13.77,2106500.0
2018-10-22,14.3,14.5,POW,14.1,13.77,803910.0
2018-10-23,14.1,14.2,POW,13.8,13.67,1658420.0
2018-10-24,14.0,14.2,POW,13.4,13.29,1657100.0
2018-10-25,13.3,13.8,POW,13.0,13.38,1658171.0
2018-10-26,13.7,14.0,POW,13.6,13.38,592140.0
2018-10-29,13.7,13.8,POW,13.5,13.09,625800.0
2018-10-30,13.6,13.6,POW,13.4,13.19,809993.0
2018-10-31,13.8,14.0,POW,13.6,13.48,822940.0
2018-11-01,13.8,13.8,POW,13.6,13.19,455510.0
2018-11-02,13.6,13.9,POW,13.6,13.38,559767.0
2018-11-05,13.7,13.9,POW,13.6,13.38,493960.0
2018-11-06,13.8,14.2,POW,13.8,13.58,1149809.0
