Date,Open,High,Name,Low,Close,Volume
2018-09-21,36.2,36.45,REE,35.75,32.58,670420.0
2018-09-24,36.3,36.7,REE,35.9,33.21,781710.0
2018-09-25,36.2,36.8,REE,36.0,32.76,570810.0
2018-09-26,36.1,37.3,REE,36.1,33.66,1752660.0
2018-09-27,37.0,37.45,REE,36.95,33.53,984520.0
2018-09-28,37.2,37.2,REE,36.85,33.39,763810.0
2018-10-01,37.0,37.0,REE,36.3,33.03,958800.0
2018-10-02,36.5,36.5,REE,36.1,32.67,645210.0
2018-10-03,36.45,36.6,REE,36.2,33.03,512520.0
2018-10-04,36.5,36.95,REE,36.4,33.44,699210.0
2018-10-05,36.9,37.55,REE,36.7,33.53,1429420.0
2018-10-08,36.6,37.0,REE,36.6,33.44,510280.0
2018-10-09,37.0,37.2,REE,36.8,33.48,578140.0
2018-10-10,37.3,37.3,REE,36.4,33.07,542920.0
2018-10-11,34.0,35.8,REE,34.0,30.77,2103780.0
2018-10-12,34.0,34.8,REE,33.7,31.44,625240.0
2018-10-15,34.75,34.75,REE,33.8,30.58,577500.0
2018-10-16,34.0,34.5,REE,33.9,31.08,332840.0
2018-10-17,35.0,35.2,REE,34.6,31.67,425500.0
2018-10-18,34.65,35.0,REE,34.3,31.04,369100.0
2018-10-19,33.65,34.25,REE,33.6,30.58,431650.0
2018-10-22,34.15,34.25,REE,33.8,30.77,232670.0
2018-10-23,33.8,34.0,REE,32.7,30.04,624620.0
2018-10-24,33.2,33.7,REE,32.75,29.63,417930.0
2018-10-25,31.2,32.3,REE,31.2,28.96,623560.0
2018-10-26,32.5,32.5,REE,31.5,28.5,436970.0
2018-10-29,31.5,31.8,REE,31.3,28.46,349840.0
2018-10-30,31.0,31.3,REE,30.4,27.82,1003140.0
2018-10-31,31.1,31.55,REE,31.0,28.5,399480.0
2018-11-01,31.75,31.75,REE,30.9,27.96,365780.0
2018-11-02,31.0,32.0,REE,31.0,28.96,427260.0
2018-11-05,32.0,32.0,REE,31.6,28.96,191900.0
2018-11-06,32.0,32.1,REE,31.6,28.59,211450.0
2018-11-07,31.6,31.8,REE,31.3,28.32,355020.0
2018-11-08,31.85,31.9,REE,31.65,28.64,302760.0
2018-11-09,31.5,31.8,REE,31.2,28.23,221360.0
2018-11-12,31.05,31.3,REE,30.8,28.19,188250.0
2018-11-13,30.65,31.1,REE,30.65,28.01,174500.0
2018-11-14,31.0,31.05,REE,30.4,27.6,284660.0
2018-11-15,30.5,30.75,REE,30.35,27.78,210480.0
2018-11-16,31.0,31.15,REE,30.8,28.14,145020.0
2018-11-19,31.4,31.5,REE,31.25,28.32,114460.0
2018-11-20,31.15,31.35,REE,30.9,28.19,247550.0
2018-11-21,30.95,32.6,REE,30.9,29.5,684200.0
2018-11-22,32.8,32.8,REE,32.3,29.41,300910.0
2018-11-23,32.5,33.1,REE,32.25,29.59,359450.0
2018-11-26,32.4,32.7,REE,32.25,29.41,171170.0
2018-11-27,32.6,33.0,REE,31.8,29.27,256600.0
2018-11-28,32.1,32.35,REE,32.1,29.27,129820.0
2018-11-29,32.35,32.8,REE,32.35,29.32,237230.0
2018-11-30,32.05,32.35,REE,31.8,28.78,228560.0
2018-12-03,32.5,33.15,REE,32.3,30.0,468810.0
2018-12-04,33.5,33.5,REE,33.0,30.18,384370.0
2018-12-05,33.0,33.4,REE,32.85,30.22,310000.0
2018-12-06,33.4,33.4,REE,32.9,30.09,177140.0
2018-12-07,33.35,33.9,REE,33.1,30.18,364300.0
2018-12-10,33.2,33.35,REE,33.0,29.91,134130.0
2018-12-11,33.0,33.25,REE,32.7,29.59,165760.0
2018-12-12,33.0,33.2,REE,32.9,29.86,265120.0
