Date,Open,High,Name,Low,Close,Volume
2018-09-21,33.0,33.2,SSI,32.65,24.29,7085490.0
2018-09-24,33.25,33.35,SSI,32.95,24.48,3011110.0
2018-09-25,32.95,33.3,SSI,32.8,24.33,3284420.0
2018-09-26,32.9,33.4,SSI,32.9,24.37,2945320.0
2018-09-27,33.2,33.8,SSI,33.0,24.81,4349150.0
2018-09-28,33.7,33.8,SSI,33.5,24.73,3238680.0
2018-10-01,33.5,33.6,SSI,33.1,24.51,2718800.0
2018-10-02,33.05,33.45,SSI,32.95,24.4,2987970.0
2018-10-03,33.2,33.35,SSI,33.0,24.62,2595250.0
2018-10-04,32.7,33.3,SSI,32.5,25.35,3749870.0
2018-10-05,33.0,33.3,SSI,32.6,24.81,3497780.0
2018-10-08,32.4,32.85,SSI,32.15,24.78,2493570.0
2018-10-09,32.55,32.8,SSI,32.45,24.85,1334060.0
2018-10-10,32.7,32.8,SSI,32.0,24.81,2429860.0
2018-10-11,30.35,31.9,SSI,30.35,23.1,9927880.0
2018-10-12,30.1,31.1,SSI,29.45,23.56,4954220.0
2018-10-15,30.95,30.95,SSI,30.15,23.06,1845760.0
2018-10-16,30.4,30.5,SSI,30.0,23.1,2143320.0
2018-10-17,30.8,30.95,SSI,30.6,23.44,2565980.0
2018-10-18,30.5,30.8,SSI,30.3,23.14,2044470.0
2018-10-19,29.9,30.5,SSI,29.7,22.95,2307550.0
2018-10-22,30.5,30.7,SSI,30.0,22.84,2307270.0
2018-10-23,29.5,29.8,SSI,28.55,22.07,4487910.0
2018-10-24,29.0,29.35,SSI,28.3,21.54,4276680.0
2018-10-25,26.5,28.2,SSI,26.5,21.31,4115970.0
2018-10-26,28.35,28.5,SSI,27.55,20.97,2485300.0
2018-10-29,27.5,27.55,SSI,27.1,20.86,1971190.0
2018-10-30,27.5,28.15,SSI,27.15,20.93,1967410.0
2018-10-31,28.0,28.8,SSI,27.85,21.81,2418880.0
