Date,Open,High,Name,Low,Close,Volume
2018-09-21,28.0,28.45,TCB,27.8,28.3,4008110.0
2018-09-24,28.3,28.45,TCB,27.95,28.1,2213810.0
2018-09-25,28.0,28.2,TCB,27.8,28.0,2261840.0
2018-09-26,28.0,29.35,TCB,27.8,28.9,4516320.0
2018-09-27,29.4,29.65,TCB,29.15,29.4,3663710.0
2018-09-28,29.5,29.65,TCB,29.0,29.15,3943650.0
2018-10-01,29.15,29.25,TCB,28.6,28.65,2816100.0
2018-10-02,28.6,29.4,TCB,28.6,29.1,3139750.0
2018-10-03,29.4,29.5,TCB,29.15,29.35,1405830.0
2018-10-04,29.5,30.2,TCB,29.35,30.2,3273230.0
2018-10-05,30.1,30.25,TCB,29.75,29.8,3156560.0
2018-10-08,29.1,29.75,TCB,29.1,29.35,2101380.0
2018-10-09,29.4,29.75,TCB,29.15,29.75,2656380.0
2018-10-10,29.8,30.1,TCB,29.65,29.7,1689250.0
2018-10-11,27.85,29.1,TCB,27.7,27.85,4366960.0
2018-10-12,27.85,28.8,TCB,27.3,28.7,2298230.0
2018-10-15,28.7,28.75,TCB,28.0,28.2,2085500.0
2018-10-16,28.15,28.9,TCB,28.15,28.7,1363410.0
2018-10-17,29.1,29.3,TCB,28.95,29.1,1972280.0
2018-10-18,28.8,29.1,TCB,28.7,28.9,1487880.0
2018-10-19,28.4,29.0,TCB,28.1,29.0,1454000.0
2018-10-22,29.0,29.2,TCB,28.8,28.8,2026290.0
2018-10-23,28.8,28.8,TCB,26.8,27.8,2307530.0
2018-10-24,27.9,28.0,TCB,26.5,26.5,1535430.0
2018-10-25,25.2,26.3,TCB,25.1,26.1,2454470.0
2018-10-26,26.9,26.9,TCB,25.5,25.85,1747390.0
2018-10-29,25.8,26.0,TCB,25.5,25.7,1473740.0
2018-10-30,25.7,26.1,TCB,25.6,25.8,1327540.0
2018-10-31,26.1,26.9,TCB,26.1,26.9,1230140.0
2018-11-01,26.95,26.95,TCB,26.1,26.1,802870.0
2018-11-02,26.6,26.95,TCB,26.2,26.6,1048790.0
2018-11-05,26.7,26.95,TCB,26.5,26.85,920120.0
2018-11-06,27.4,27.4,TCB,26.75,26.95,1174180.0
2018-11-07,26.7,27.2,TCB,26.7,27.0,1180500.0
2018-11-08,27.5,27.5,TCB,26.95,27.0,710570.0
2018-11-09,26.85,26.95,TCB,26.35,26.35,1090990.0
2018-11-12,26.3,26.5,TCB,25.85,26.3,784460.0
2018-11-13,25.7,26.0,TCB,25.7,25.75,947810.0
2018-11-14,25.6,26.0,TCB,25.15,25.25,1692450.0
2018-11-15,25.25,25.55,TCB,25.05,25.25,971850.0
2018-11-16,25.5,26.4,TCB,25.45,25.7,645780.0
2018-11-19,25.7,26.7,TCB,25.7,26.5,1754860.0
2018-11-20,26.3,26.55,TCB,26.1,26.4,1534530.0
2018-11-21,26.0,26.8,TCB,25.9,26.5,1028070.0
2018-11-22,26.9,26.9,TCB,24.65,26.5,901490.0
2018-11-23,26.5,26.6,TCB,26.1,26.1,643390.0
2018-11-26,26.0,26.45,TCB,25.95,25.95,1195560.0
2018-11-27,26.3,26.5,TCB,25.95,26.0,1040020.0
2018-11-28,26.0,26.15,TCB,25.9,26.15,668970.0
2018-11-29,26.45,26.6,TCB,26.05,26.05,1304530.0
2018-11-30,26.25,26.3,TCB,26.0,26.05,635260.0
2018-12-03,26.5,27.2,TCB,26.3,27.2,3059840.0
2018-12-04,27.2,27.95,TCB,27.2,27.8,2885160.0
2018-12-05,27.5,28.3,TCB,27.3,28.0,3540000.0
2018-12-06,28.0,28.45,TCB,27.9,28.15,2977170.0
2018-12-07,28.2,28.5,TCB,27.8,28.0,2249340.0
2018-12-10,27.9,28.35,TCB,27.7,28.25,3389080.0
2018-12-11,28.35,28.5,TCB,28.1,28.3,2451470.0
2018-12-12,28.5,28.9,TCB,28.3,28.9,3106230.0
2018-12-13,29.0,29.15,TCB,28.7,28.7,2502500.0
2018-12-14,28.5,28.8,TCB,28.5,28.65,2395670.0
2018-12-17,28.3,28.5,TCB,27.4,27.4,3335920.0
2018-12-18,27.0,27.5,TCB,26.7,27.5,3565390.0
2018-12-19,27.4,27.5,TCB,26.95,27.5,1152330.0
2018-12-20,27.2,27.7,TCB,27.1,27.25,1096130.0
2018-12-21,27.0,27.3,TCB,26.7,27.3,1436860.0
2018-12-24,27.3,27.4,TCB,26.9,26.9,1250440.0
2018-12-25,26.2,26.55,TCB,25.8,26.4,2408040.0
2018-12-26,26.3,26.6,TCB,25.95,26.0,1965260.0
2018-12-27,26.5,26.65,TCB,26.05,26.05,2093990.0
2018-12-28,26.3,26.3,TCB,25.85,25.85,1849440.0
2019-01-02,25.6,26.05,TCB,25.6,25.6,1329030.0
2019-01-03,25.7,25.75,TCB,25.0,25.0,1811430.0
2019-01-04,25.0,25.0,TCB,23.25,24.95,2970830.0
2019-01-07,25.15,25.5,TCB,25.1,25.1,1436930.0
2019-01-08,25.15,25.2,TCB,25.05,25.1,843170.0
2019-01-09,25.2,26.0,TCB,25.1,25.8,3192180.0
2019-01-10,25.8,25.95,TCB,25.75,25.8,1644380.0
2019-01-11,25.85,26.3,TCB,25.85,26.0,1623150.0
2019-01-14,25.9,26.05,TCB,25.75,25.85,2002420.0
2019-01-15,25.85,26.5,TCB,25.85,26.5,1853220.0
