Date,Open,High,Name,Low,Close,Volume
2018-09-20,24.45,24.65,TCH,24.2,22.04,372670.0
2018-09-21,24.4,24.4,TCH,22.7,20.51,1651480.0
2018-09-24,22.85,23.9,TCH,22.85,21.55,491190.0
2018-09-25,24.4,24.4,TCH,23.65,22.04,309960.0
2018-09-26,24.0,24.4,TCH,23.9,22.04,554360.0
2018-09-27,24.15,24.35,TCH,23.95,21.82,524550.0
2018-09-28,24.15,24.2,TCH,23.6,21.73,408990.0
2018-10-01,23.75,24.05,TCH,23.5,21.23,921070.0
2018-10-02,23.7,23.7,TCH,22.9,20.78,676040.0
2018-10-03,22.7,23.8,TCH,22.7,21.23,817430.0
2018-10-04,23.6,23.6,TCH,23.0,21.27,884620.0
2018-10-05,23.25,23.4,TCH,23.0,21.05,735440.0
2018-10-08,23.0,24.4,TCH,23.0,21.91,5011050.0
2018-10-09,23.45,24.5,TCH,23.4,22.13,3211790.0
2018-10-10,23.5,24.1,TCH,23.4,21.68,2296650.0
2018-10-11,22.35,22.8,TCH,22.35,20.19,639120.0
2018-10-12,21.0,23.0,TCH,20.8,20.78,2769180.0
2018-10-15,22.5,22.65,TCH,21.5,19.74,1214900.0
2018-10-16,21.55,21.9,TCH,21.3,19.65,379760.0
2018-10-17,21.8,22.1,TCH,20.3,19.69,568480.0
2018-10-18,21.4,22.0,TCH,21.3,19.74,562520.0
2018-10-19,21.4,21.9,TCH,20.35,19.51,1831030.0
2018-10-22,21.65,21.8,TCH,21.0,19.33,313830.0
2018-10-23,21.2,21.35,TCH,19.95,18.65,965270.0
2018-10-24,20.4,20.65,TCH,19.8,18.25,833120.0
2018-10-25,18.95,20.8,TCH,18.8,18.7,1714370.0
2018-10-26,20.5,20.85,TCH,20.1,18.65,1707820.0
2018-10-29,20.3,20.65,TCH,20.0,18.25,548250.0
2018-10-30,20.0,20.45,TCH,19.9,18.2,1324110.0
2018-10-31,19.9,20.3,TCH,19.8,18.34,1671890.0
2018-11-01,20.0,20.35,TCH,19.75,18.07,732890.0
2018-11-02,19.95,20.2,TCH,19.0,18.11,845700.0
2018-11-05,20.0,20.0,TCH,19.65,18.02,788530.0
2018-11-06,19.95,20.0,TCH,19.55,18.02,553470.0
2018-11-07,19.6,20.0,TCH,19.6,18.07,705450.0
2018-11-08,20.1,21.15,TCH,20.1,19.11,1293220.0
2018-11-09,20.65,21.2,TCH,20.65,18.79,760310.0
2018-11-12,20.3,20.7,TCH,20.1,18.47,895670.0
2018-11-13,19.8,20.1,TCH,19.4,18.16,1124670.0
2018-11-14,19.85,20.15,TCH,19.5,18.2,859550.0
2018-11-15,20.0,20.4,TCH,19.85,18.34,590390.0
2018-11-16,20.15,20.35,TCH,20.05,18.34,419040.0
2018-11-19,20.35,20.65,TCH,20.35,18.56,666240.0
2018-11-20,20.4,21.35,TCH,20.4,19.15,806930.0
2018-11-21,21.0,22.0,TCH,20.9,19.65,488190.0
2018-11-22,21.8,21.9,TCH,21.5,19.56,410160.0
2018-11-23,21.4,21.55,TCH,20.7,19.02,1053720.0
2018-11-26,21.0,21.1,TCH,20.5,18.7,447640.0
2018-11-27,20.75,20.9,TCH,20.3,18.84,888150.0
2018-11-28,20.6,20.9,TCH,20.45,18.7,807020.0
2018-11-29,20.65,20.9,TCH,20.3,18.34,343150.0
2018-11-30,20.35,20.6,TCH,20.1,18.52,635060.0
2018-12-03,20.6,20.85,TCH,20.5,18.7,591290.0
2018-12-04,20.65,20.9,TCH,20.6,18.61,456970.0
2018-12-05,20.35,20.85,TCH,20.25,18.84,1574430.0
2018-12-06,20.9,20.95,TCH,20.5,18.7,685830.0
2018-12-07,20.75,20.8,TCH,20.6,18.7,752130.0
2018-12-10,20.75,20.75,TCH,20.3,18.34,1066750.0
2018-12-11,20.35,20.55,TCH,19.8,18.07,536820.0
2018-12-12,19.8,20.15,TCH,19.8,18.16,620310.0
2018-12-13,20.0,20.2,TCH,19.8,18.07,444510.0
2018-12-14,19.8,20.4,TCH,19.75,18.34,1590920.0
2018-12-17,20.4,20.55,TCH,19.9,18.2,761960.0
2018-12-18,19.75,19.95,TCH,19.0,17.89,379260.0
2018-12-19,19.85,19.9,TCH,19.05,17.89,1387240.0
2018-12-20,19.8,19.95,TCH,19.35,18.02,1165330.0
2018-12-21,19.85,19.85,TCH,19.45,17.8,639770.0
2018-12-24,19.8,19.85,TCH,19.0,17.16,686540.0
2018-12-25,18.45,18.5,TCH,17.7,15.99,1137240.0
2018-12-26,17.45,18.0,TCH,17.3,16.03,1184890.0
2018-12-27,17.9,18.2,TCH,17.35,16.03,1110620.0
2018-12-28,17.75,17.8,TCH,16.6,16.03,202700.0
2019-01-02,17.15,17.9,TCH,17.0,15.49,489900.0
2019-01-03,16.6,17.3,TCH,15.95,15.54,1659190.0
2019-01-04,16.7,17.0,TCH,16.55,15.36,712610.0
2019-01-07,17.15,17.2,TCH,16.75,15.31,374060.0
2019-01-08,16.85,16.85,TCH,16.5,15.18,501740.0
2019-01-09,16.85,16.9,TCH,16.6,15.09,614590.0
2019-01-10,16.7,16.8,TCH,16.6,15.13,324630.0
2019-01-11,16.75,17.05,TCH,16.6,15.36,927630.0
2019-01-14,17.05,17.15,TCH,16.7,15.27,436350.0
2019-01-15,16.75,17.0,TCH,16.7,15.31,251400.0
2019-01-16,16.95,17.0,TCH,16.8,15.31,311640.0
2019-01-17,17.0,17.05,TCH,16.75,15.22,457980.0
2019-01-18,16.85,17.5,TCH,16.55,15.81,1630230.0
2019-01-21,17.5,17.85,TCH,17.5,16.08,1083950.0
2019-01-22,17.5,18.05,TCH,17.5,16.26,1727940.0
2019-01-23,17.95,18.1,TCH,17.7,16.31,983970.0
2019-01-24,18.1,18.15,TCH,17.8,16.26,570760.0
2019-01-25,17.85,18.2,TCH,17.75,16.35,980410.0
2019-01-28,18.15,18.35,TCH,18.05,16.58,812360.0
2019-01-29,18.45,18.75,TCH,18.3,16.85,1062820.0
2019-01-30,18.7,18.9,TCH,18.65,17.03,700530.0
