Date,Open,High,Name,Low,Close,Volume
2018-09-20,26.25,26.45,TPB,26.2,19.79,451650.0
2018-09-21,26.25,26.4,TPB,26.2,19.79,458990.0
2018-09-24,26.3,26.4,TPB,26.2,19.79,179800.0
2018-09-25,25.95,26.25,TPB,25.85,19.56,352600.0
2018-09-26,26.0,26.55,TPB,25.8,19.6,280770.0
2018-09-27,26.0,26.2,TPB,25.95,19.6,237590.0
2018-09-28,26.0,26.2,TPB,25.9,19.75,377090.0
2018-10-01,26.2,26.35,TPB,26.15,19.75,334990.0
2018-10-02,26.2,26.5,TPB,25.95,19.71,462710.0
2018-10-03,26.2,26.35,TPB,26.15,19.83,493170.0
2018-10-04,26.3,27.2,TPB,26.3,20.35,918360.0
2018-10-05,27.1,27.15,TPB,26.85,20.35,691450.0
2018-10-08,27.05,27.05,TPB,26.5,20.09,586980.0
2018-10-09,26.4,26.75,TPB,26.3,20.13,1065850.0
2018-10-10,26.7,26.8,TPB,26.6,20.13,557840.0
2018-10-11,24.9,26.0,TPB,24.9,18.77,500890.0
2018-10-12,24.85,25.3,TPB,24.85,18.96,376500.0
2018-10-15,25.1,25.15,TPB,23.4,18.09,336550.0
2018-10-16,24.05,24.25,TPB,24.0,18.21,328810.0
2018-10-17,24.5,25.0,TPB,24.2,18.47,321550.0
2018-10-18,24.55,24.75,TPB,24.4,18.43,279180.0
2018-10-19,24.4,24.5,TPB,24.2,18.43,308190.0
2018-10-22,24.45,25.1,TPB,24.45,18.54,386440.0
2018-10-23,24.65,24.65,TPB,24.35,18.39,315760.0
2018-10-24,24.45,24.65,TPB,24.4,18.51,316220.0
2018-10-25,24.45,24.55,TPB,24.15,18.47,249910.0
2018-10-26,24.65,25.0,TPB,24.65,18.73,269600.0
2018-10-29,24.85,24.9,TPB,24.65,18.73,217050.0
2018-10-30,24.85,25.2,TPB,24.85,18.85,368350.0
2018-10-31,25.5,25.85,TPB,25.5,19.49,308320.0
2018-11-01,26.5,26.5,TPB,25.7,19.41,285340.0
2018-11-02,25.8,26.05,TPB,24.0,18.09,511310.0
2018-11-05,24.5,24.8,TPB,24.45,18.66,481700.0
2018-11-06,24.75,24.9,TPB,24.7,18.66,248270.0
2018-11-07,24.75,25.1,TPB,24.75,18.85,255460.0
2018-11-08,25.0,25.4,TPB,24.65,19.07,631830.0
2018-11-09,25.3,25.6,TPB,25.0,18.92,563400.0
2018-11-12,25.1,25.55,TPB,24.95,19.26,234920.0
2018-11-13,25.5,25.5,TPB,25.25,19.19,206970.0
2018-11-14,25.45,25.6,TPB,25.45,19.22,180650.0
2018-11-15,25.55,25.6,TPB,25.4,19.26,233890.0
2018-11-16,25.6,26.0,TPB,25.6,19.56,252140.0
2018-11-19,26.0,26.2,TPB,26.0,19.75,331610.0
2018-11-20,26.25,26.25,TPB,26.1,19.75,286420.0
2018-11-21,26.2,27.0,TPB,25.95,20.28,307800.0
2018-11-22,27.5,28.1,TPB,26.9,21.18,1262510.0
2018-11-23,28.1,28.1,TPB,27.4,20.73,1055230.0
2018-11-26,26.5,26.95,TPB,26.45,19.94,600550.0
2018-11-27,26.4,26.45,TPB,25.7,19.52,313350.0
2018-11-28,25.9,25.9,TPB,25.0,19.15,313540.0
2018-11-29,25.8,25.8,TPB,25.35,19.15,237440.0
2018-11-30,25.7,25.7,TPB,24.95,18.96,383620.0
2018-12-03,25.9,26.5,TPB,25.5,19.94,473550.0
2018-12-04,26.45,26.5,TPB,26.0,19.6,307480.0
2018-12-05,26.0,26.5,TPB,25.85,19.9,459590.0
2018-12-06,26.5,26.8,TPB,26.3,19.98,575460.0
2018-12-07,22.0,22.0,TPB,21.4,17.97,867780.0
2018-12-10,21.9,21.9,TPB,21.45,17.6,447020.0
2018-12-11,21.45,21.45,TPB,21.1,17.31,321360.0
2018-12-12,21.15,21.4,TPB,21.15,17.39,212930.0
2018-12-13,21.5,21.6,TPB,21.25,17.39,223200.0
2018-12-14,21.4,21.45,TPB,21.1,17.31,324020.0
2018-12-17,21.1,21.1,TPB,20.5,16.98,236170.0
2018-12-18,20.6,20.6,TPB,20.1,16.45,407110.0
2018-12-19,20.6,20.7,TPB,20.0,16.37,273950.0
2018-12-20,20.3,20.45,TPB,20.25,16.62,193400.0
2018-12-21,20.2,20.35,TPB,20.05,16.45,264140.0
2018-12-24,20.2,20.2,TPB,20.0,16.41,175850.0
2018-12-25,20.0,20.0,TPB,19.0,15.8,205270.0
2018-12-26,19.3,19.9,TPB,19.3,16.04,219770.0
2018-12-27,20.5,20.5,TPB,19.95,16.33,183410.0
2018-12-28,20.0,20.3,TPB,19.6,16.33,162260.0
2019-01-02,19.95,20.3,TPB,19.5,16.33,101860.0
2019-01-03,19.9,20.3,TPB,19.35,15.96,87800.0
2019-01-04,19.5,19.5,TPB,18.7,15.92,163350.0
2019-01-07,20.1,20.25,TPB,19.45,16.08,100710.0
2019-01-08,19.8,20.1,TPB,19.55,16.12,144900.0
2019-01-09,20.0,20.7,TPB,19.9,16.86,790920.0
2019-01-10,20.6,21.05,TPB,20.6,17.07,476230.0
2019-01-11,21.0,21.0,TPB,20.8,17.11,395170.0
2019-01-14,21.0,22.05,TPB,19.5,18.05,265710.0
2019-01-15,21.55,21.55,TPB,20.7,17.27,442520.0
2019-01-16,20.8,21.25,TPB,20.8,17.02,121030.0
2019-01-17,21.0,21.0,TPB,20.65,16.94,103420.0
2019-01-18,20.7,21.25,TPB,20.7,17.02,136430.0
2019-01-21,20.85,21.5,TPB,20.8,17.19,289120.0
2019-01-22,21.3,21.3,TPB,20.8,17.19,216620.0
2019-01-23,20.9,21.8,TPB,20.7,17.84,952210.0
2019-01-24,21.1,21.5,TPB,21.0,17.39,271940.0
2019-01-25,21.3,21.35,TPB,21.15,17.31,361290.0
2019-01-28,21.25,21.25,TPB,21.0,17.23,229370.0
2019-01-29,21.05,21.1,TPB,20.65,16.94,277150.0
2019-01-30,21.0,21.0,TPB,20.85,17.11,191750.0
2019-01-31,21.0,21.1,TPB,20.8,17.02,194040.0
2019-02-01,20.9,21.0,TPB,20.8,17.15,133360.0
2019-02-11,21.05,21.25,TPB,21.05,17.39,328120.0
2019-02-12,21.3,21.45,TPB,21.25,17.43,387770.0
2019-02-13,21.35,21.45,TPB,21.2,17.48,308220.0
2019-02-14,21.4,21.4,TPB,21.15,17.43,328550.0
2019-02-15,21.35,21.4,TPB,21.0,17.35,536880.0
2019-02-18,21.35,21.35,TPB,21.05,17.39,277020.0
2019-02-19,21.3,21.3,TPB,21.0,17.27,280680.0
2019-02-20,21.2,21.2,TPB,20.8,17.27,349790.0
2019-02-21,21.15,21.2,TPB,20.75,17.02,475180.0
2019-02-22,20.85,21.15,TPB,20.75,17.19,348120.0
2019-02-25,21.05,21.6,TPB,21.05,17.39,331450.0
2019-02-26,21.25,21.25,TPB,20.8,17.19,460890.0
2019-02-27,21.0,21.0,TPB,20.7,17.15,585280.0
2019-02-28,20.95,21.0,TPB,20.65,16.98,528270.0
2019-03-01,20.75,20.95,TPB,20.7,17.15,463220.0
2019-03-04,20.95,21.6,TPB,20.85,17.35,619900.0
2019-03-05,21.2,21.25,TPB,20.8,17.11,620810.0
2019-03-06,20.95,21.05,TPB,20.8,17.11,187320.0
2019-03-07,21.0,21.25,TPB,20.95,17.19,285270.0
2019-03-08,20.95,20.95,TPB,20.75,17.07,133070.0
2019-03-11,20.8,20.9,TPB,20.65,17.02,59560.0
2019-03-12,20.8,21.2,TPB,20.8,17.35,667260.0
2019-03-13,21.35,21.4,TPB,21.2,17.43,548920.0
2019-03-14,21.35,21.35,TPB,21.0,17.43,279910.0
2019-03-15,21.25,21.35,TPB,21.0,17.19,348190.0
2019-03-18,21.0,21.3,TPB,21.0,17.39,939370.0
2019-03-19,21.3,21.35,TPB,21.15,17.39,771910.0
2019-03-20,21.25,21.3,TPB,20.95,17.35,691420.0
2019-03-21,21.3,21.3,TPB,20.9,17.31,504960.0
2019-03-22,21.2,21.25,TPB,21.1,17.35,340730.0
2019-03-25,21.15,21.15,TPB,20.7,17.11,470480.0
2019-03-26,20.9,21.3,TPB,20.9,17.11,337140.0
2019-03-27,20.95,21.15,TPB,20.85,17.19,321520.0
2019-03-28,21.05,21.25,TPB,20.95,17.35,505130.0
