Date,Open,High,Name,Low,Close,Volume
2018-09-21,65.0,65.7,VCB,64.0,62.71,4889170.0
2018-09-24,65.5,65.7,VCB,64.8,63.29,1094970.0
2018-09-25,64.4,65.2,VCB,64.4,62.51,1031520.0
2018-09-26,64.4,64.9,VCB,63.8,61.93,2099660.0
2018-09-27,63.4,64.2,VCB,63.2,61.54,2121040.0
2018-09-28,63.7,64.0,VCB,63.0,61.15,2104400.0
2018-10-01,63.5,63.5,VCB,62.5,60.67,1932610.0
2018-10-02,62.5,63.1,VCB,62.2,61.15,1601040.0
2018-10-03,63.4,63.5,VCB,62.5,61.15,1034920.0
2018-10-04,63.0,64.0,VCB,62.8,61.15,2298750.0
2018-10-05,62.5,63.0,VCB,62.1,61.05,1633520.0
2018-10-08,62.0,62.4,VCB,61.6,60.56,1347760.0
2018-10-09,61.8,62.2,VCB,61.6,60.66,868060.0
2018-10-10,61.9,62.0,VCB,61.4,60.66,781330.0
2018-10-11,57.7,60.0,VCB,57.5,56.73,3432840.0
2018-10-12,57.0,59.9,VCB,57.0,58.89,2266290.0
2018-10-15,59.8,60.0,VCB,58.7,58.11,1155630.0
2018-10-16,59.0,59.6,VCB,58.9,58.2,1079700.0
2018-10-17,59.2,59.9,VCB,59.1,58.2,1293490.0
2018-10-18,59.0,59.2,VCB,57.9,57.02,1605080.0
2018-10-19,57.0,58.6,VCB,57.0,56.73,1188910.0
2018-10-22,58.5,58.8,VCB,57.1,56.14,1204690.0
2018-10-23,57.0,57.3,VCB,54.0,54.86,2346810.0
2018-10-24,55.8,56.6,VCB,55.5,54.57,1474260.0
2018-10-25,53.0,55.2,VCB,53.0,53.88,1744120.0
2018-10-26,55.9,55.9,VCB,53.5,52.6,1220360.0
2018-10-29,53.3,53.9,VCB,52.5,52.01,1261730.0
2018-10-30,52.9,54.3,VCB,52.7,53.29,1337430.0
2018-10-31,54.2,56.7,VCB,54.2,54.66,1245750.0
2018-11-01,55.8,55.9,VCB,54.8,54.07,1221200.0
2018-11-02,55.0,56.3,VCB,55.0,55.25,1136910.0
2018-11-05,55.9,56.5,VCB,55.6,55.55,873020.0
2018-11-06,57.0,57.0,VCB,55.8,54.86,667710.0
2018-11-07,55.8,56.2,VCB,55.1,54.57,668290.0
2018-11-08,56.7,56.8,VCB,55.7,54.76,575720.0
2018-11-09,55.2,55.7,VCB,54.3,53.39,885690.0
2018-11-12,54.0,54.6,VCB,52.8,53.68,687980.0
2018-11-13,53.3,54.3,VCB,53.3,52.7,601520.0
2018-11-14,53.6,54.3,VCB,52.8,52.3,530120.0
2018-11-15,53.2,53.6,VCB,52.5,52.5,828510.0
2018-11-16,54.0,54.1,VCB,53.1,52.3,1227840.0
2018-11-19,54.0,54.0,VCB,53.2,53.09,1145500.0
2018-11-20,54.0,54.0,VCB,53.3,52.89,1086240.0
2018-11-21,53.1,55.4,VCB,53.0,54.47,1908000.0
2018-11-22,55.0,55.5,VCB,54.7,53.88,961120.0
2018-11-23,54.7,55.0,VCB,54.0,53.09,897050.0
2018-11-26,54.0,54.3,VCB,53.7,53.09,673900.0
2018-11-27,54.4,54.7,VCB,53.2,52.5,1284900.0
2018-11-28,53.4,55.1,VCB,53.4,54.17,1483680.0
2018-11-29,55.6,56.4,VCB,55.0,54.07,2360280.0
2018-11-30,54.9,56.0,VCB,54.8,54.47,1430640.0
2018-12-03,56.7,58.0,VCB,56.2,57.02,2226730.0
2018-12-04,57.8,58.3,VCB,57.1,56.63,1367410.0
