Date,Open,High,Name,Low,Close,Volume
2018-09-21,104.6,105.1,VHM,101.5,80.23,8102520.0
2018-09-24,101.5,103.0,VHM,101.5,81.34,634680.0
2018-09-25,102.4,103.4,VHM,101.6,80.95,472130.0
2018-09-26,102.0,102.5,VHM,101.9,80.55,473580.0
2018-09-27,104.0,104.5,VHM,103.0,82.21,525990.0
2018-09-28,105.5,106.0,VHM,104.6,83.79,846730.0
2018-10-01,106.5,107.1,VHM,103.1,81.5,523580.0
2018-10-02,104.3,105.0,VHM,103.8,82.21,534540.0
2018-10-03,104.9,104.9,VHM,101.9,80.63,467970.0
2018-10-04,104.0,104.0,VHM,102.6,81.1,331810.0
2018-10-05,104.0,104.0,VHM,102.1,80.71,304710.0
2018-10-08,82.5,83.0,VHM,80.0,79.05,265800.0
2018-10-09,81.2,82.2,VHM,80.0,79.05,267080.0
2018-10-10,81.5,81.5,VHM,80.0,79.15,378520.0
2018-10-11,76.5,80.2,VHM,75.1,75.59,736740.0
2018-10-12,76.5,79.0,VHM,76.0,76.08,666960.0
2018-10-15,77.0,77.0,VHM,73.0,72.23,505140.0
2018-10-16,73.1,75.1,VHM,73.1,73.71,349810.0
2018-10-17,76.4,77.0,VHM,75.0,75.49,300010.0
2018-10-18,76.4,76.8,VHM,75.5,74.7,146220.0
2018-10-19,74.6,76.1,VHM,74.0,73.91,282610.0
2018-10-22,74.8,75.5,VHM,74.7,73.81,252630.0
2018-10-23,73.8,74.5,VHM,73.4,73.22,136760.0
2018-10-24,73.5,74.2,VHM,72.5,71.64,233830.0
2018-10-25,68.5,70.2,VHM,68.0,67.68,479440.0
2018-10-26,68.5,69.0,VHM,63.8,64.23,1004220.0
2018-10-29,62.5,63.6,VHM,61.0,61.06,338080.0
2018-10-30,60.1,63.0,VHM,60.0,61.36,574230.0
2018-10-31,62.3,66.4,VHM,62.3,65.61,1099060.0
2018-11-01,65.1,70.0,VHM,65.1,68.18,871070.0
2018-11-02,70.0,73.8,VHM,70.0,71.14,1170010.0
2018-11-05,73.0,73.8,VHM,71.0,71.14,758430.0
2018-11-06,73.0,73.0,VHM,71.0,71.14,379000.0
2018-11-07,72.4,72.7,VHM,70.8,71.83,298710.0
2018-11-08,73.4,74.7,VHM,73.0,73.81,481780.0
2018-11-09,74.5,76.6,VHM,74.0,75.1,520370.0
2018-11-12,75.4,76.2,VHM,75.1,75.1,274460.0
2018-11-13,73.1,76.0,VHM,73.1,74.9,271790.0
2018-11-14,75.8,76.0,VHM,75.0,74.9,284050.0
2018-11-15,74.8,75.8,VHM,74.5,74.6,301910.0
2018-11-16,74.5,74.9,VHM,70.5,70.35,788790.0
2018-11-19,71.5,72.9,VHM,69.9,72.03,323690.0
2018-11-20,72.1,75.5,VHM,72.1,74.11,500750.0
2018-11-21,75.0,75.8,VHM,73.2,74.9,451550.0
2018-11-22,75.5,78.0,VHM,75.0,76.08,504210.0
2018-11-23,77.0,77.8,VHM,76.1,75.19,89640.0
2018-11-26,76.0,77.3,VHM,75.5,76.08,301550.0
2018-11-27,77.5,78.6,VHM,77.4,77.37,399420.0
2018-11-28,78.0,78.4,VHM,77.5,77.37,170200.0
2018-11-29,78.5,78.9,VHM,78.4,77.76,473940.0
2018-11-30,78.7,78.9,VHM,76.0,76.87,593960.0
2018-12-03,78.5,78.7,VHM,77.7,76.78,194530.0
2018-12-04,78.0,83.0,VHM,78.0,81.02,700280.0
2018-12-05,80.0,82.5,VHM,80.0,79.74,384670.0
2018-12-06,81.0,81.9,VHM,80.5,80.43,256140.0
2018-12-07,81.4,81.4,VHM,80.0,79.05,250620.0
2018-12-10,79.8,80.0,VHM,79.0,79.05,345240.0
2018-12-11,81.4,81.4,VHM,79.9,79.34,141650.0
2018-12-12,80.3,80.4,VHM,79.7,79.34,204900.0
2018-12-13,80.1,81.3,VHM,80.1,79.34,162470.0
2018-12-14,80.3,80.3,VHM,79.5,78.85,97030.0
2018-12-17,79.8,79.9,VHM,76.5,76.58,461140.0
2018-12-18,76.0,78.0,VHM,75.5,76.58,323660.0
2018-12-19,78.0,78.0,VHM,76.7,76.58,217620.0
2018-12-20,76.8,77.6,VHM,76.8,76.48,184090.0
2018-12-21,76.8,76.8,VHM,73.9,73.02,1469270.0
2018-12-24,75.0,76.0,VHM,74.3,73.51,172180.0
2018-12-25,73.0,74.0,VHM,72.3,72.63,232270.0
2018-12-26,73.1,73.5,VHM,71.4,71.14,547940.0
2018-12-27,73.9,73.9,VHM,72.9,72.43,304690.0
2018-12-28,73.8,74.5,VHM,73.4,72.53,399190.0
2019-01-02,73.5,73.7,VHM,72.7,72.63,334420.0
2019-01-03,72.1,73.2,VHM,71.5,72.33,475210.0
2019-01-04,72.0,74.5,VHM,70.9,73.12,277640.0
2019-01-07,74.6,74.6,VHM,73.3,73.32,186030.0
2019-01-08,74.0,74.2,VHM,73.1,73.32,205460.0
2019-01-09,74.5,74.5,VHM,74.0,73.32,92720.0
2019-01-10,74.5,74.6,VHM,73.5,73.71,108550.0
2019-01-11,74.9,76.6,VHM,74.7,75.69,241490.0
2019-01-14,78.0,78.0,VHM,76.6,76.38,193920.0
2019-01-15,77.0,79.9,VHM,77.0,78.95,297510.0
2019-01-16,80.3,82.0,VHM,79.1,79.34,327390.0
2019-01-17,80.9,81.2,VHM,79.8,78.85,214330.0
2019-01-18,80.4,81.1,VHM,79.0,79.54,289350.0
2019-01-21,81.0,81.0,VHM,80.0,79.54,411510.0
2019-01-22,80.6,81.0,VHM,79.6,78.65,285720.0
2019-01-23,79.9,80.0,VHM,79.0,78.65,214610.0
2019-01-24,79.6,79.6,VHM,78.0,77.86,176750.0
2019-01-25,78.5,78.7,VHM,77.5,77.07,226260.0
2019-01-28,80.0,80.6,VHM,77.8,79.64,284550.0
2019-01-29,81.5,81.5,VHM,80.5,80.53,334250.0
2019-01-30,80.4,82.0,VHM,80.4,81.02,246940.0
2019-01-31,82.0,82.0,VHM,79.6,79.05,773010.0
2019-02-01,80.0,80.0,VHM,79.6,79.05,974540.0
2019-02-11,81.0,81.0,VHM,79.6,78.95,353110.0
2019-02-12,80.4,80.4,VHM,79.5,79.05,531210.0
2019-02-13,80.1,80.8,VHM,79.3,79.05,506510.0
2019-02-14,80.4,82.6,VHM,80.1,80.93,971710.0
2019-02-15,82.0,82.0,VHM,81.1,80.23,422250.0
2019-02-18,81.5,82.0,VHM,80.8,81.02,607000.0
2019-02-19,82.5,87.7,VHM,82.5,85.96,1244300.0
2019-02-20,87.0,90.8,VHM,87.0,89.32,815580.0
2019-02-21,90.5,96.7,VHM,89.2,95.55,1209870.0
2019-02-22,95.0,96.5,VHM,92.7,91.99,950950.0
2019-02-25,94.5,95.1,VHM,91.3,90.91,838040.0
2019-02-26,92.0,93.0,VHM,90.0,90.91,1103360.0
2019-02-27,93.0,93.3,VHM,91.5,91.6,896260.0
2019-02-28,92.1,92.3,VHM,87.5,86.46,1270190.0
2019-03-01,88.5,91.4,VHM,87.5,89.92,806340.0
2019-03-04,92.0,93.5,VHM,89.6,92.09,910620.0
2019-03-05,92.2,92.9,VHM,90.5,89.92,1152650.0
2019-03-06,91.0,91.9,VHM,90.8,90.71,592410.0
2019-03-07,92.0,95.3,VHM,91.9,90.91,1306970.0
2019-03-08,92.0,92.9,VHM,91.4,90.41,699850.0
2019-03-11,91.0,92.3,VHM,90.0,88.93,533740.0
2019-03-12,91.2,92.6,VHM,90.9,91.2,864570.0
2019-03-13,92.6,96.0,VHM,92.5,92.88,1654850.0
2019-03-14,94.3,94.6,VHM,92.8,92.88,708190.0
2019-03-15,94.0,94.0,VHM,92.5,92.19,2496760.0
2019-03-18,94.0,94.9,VHM,94.0,93.18,1056390.0
2019-03-19,95.0,95.2,VHM,93.5,92.88,1100900.0
2019-03-20,93.1,93.4,VHM,91.0,91.1,1061950.0
2019-03-21,93.0,93.0,VHM,88.2,87.15,1009930.0
2019-03-22,89.0,91.2,VHM,88.0,90.02,957080.0
2019-03-25,89.5,89.5,VHM,87.5,87.94,793070.0
2019-03-26,90.0,90.7,VHM,89.5,88.83,617980.0
2019-03-27,91.0,91.0,VHM,89.9,89.03,389620.0
2019-03-28,90.3,93.3,VHM,90.0,91.99,894540.0
2019-03-29,94.0,94.3,VHM,91.5,90.41,1054060.0
2019-04-01,92.4,93.8,VHM,91.8,91.3,334480.0
2019-04-02,93.4,93.7,VHM,92.0,91.1,359690.0
2019-04-03,92.2,92.2,VHM,91.1,90.91,281350.0
2019-04-04,92.0,92.8,VHM,91.3,90.91,489550.0
2019-04-05,92.5,93.2,VHM,92.1,91.5,454260.0
2019-04-08,93.0,94.6,VHM,92.7,93.47,657320.0
2019-04-09,95.0,96.0,VHM,93.0,92.68,973210.0
2019-04-10,93.8,93.8,VHM,92.3,91.4,328400.0
2019-04-11,92.8,93.8,VHM,92.2,92.39,233360.0
2019-04-12,93.4,93.6,VHM,92.0,92.19,299590.0
2019-04-16,90.0,91.9,VHM,87.8,89.92,913790.0
2019-04-17,91.0,91.9,VHM,89.7,88.73,761350.0
2019-04-18,89.9,90.5,VHM,88.1,87.94,609680.0
2019-04-19,89.0,90.4,VHM,89.0,87.94,258960.0
2019-04-22,89.7,90.0,VHM,88.6,88.93,211620.0
2019-04-23,89.7,90.0,VHM,88.9,87.94,494910.0
2019-04-24,89.7,90.2,VHM,89.7,88.63,629420.0
2019-04-25,89.5,90.2,VHM,89.4,89.13,680080.0
