Date,Open,High,Name,Low,Close,Volume
2018-09-21,98.5,99.3,VIC,98.4,98.6,1584980.0
2018-09-24,98.6,100.3,VIC,98.6,99.6,323610.0
2018-09-25,99.5,99.6,VIC,99.2,99.5,426720.0
2018-09-26,99.2,99.3,VIC,99.0,99.0,505180.0
2018-09-27,98.6,99.2,VIC,98.5,98.6,497460.0
2018-09-28,98.6,98.6,VIC,98.1,98.3,857910.0
2018-10-01,99.9,102.5,VIC,98.5,98.5,1269410.0
2018-10-02,99.9,102.0,VIC,99.7,102.0,1206840.0
2018-10-03,103.0,103.9,VIC,101.8,102.2,860380.0
2018-10-04,102.1,102.2,VIC,100.6,100.6,635150.0
2018-10-05,99.9,100.4,VIC,98.3,98.5,1868060.0
2018-10-08,97.6,98.3,VIC,96.4,96.6,1766100.0
2018-10-09,96.6,97.3,VIC,96.1,96.6,944590.0
2018-10-10,96.6,97.7,VIC,96.5,96.6,1213420.0
2018-10-11,93.0,94.4,VIC,89.9,93.0,3276160.0
2018-10-12,93.0,97.5,VIC,92.8,96.0,1735640.0
2018-10-15,96.0,96.7,VIC,94.0,95.5,720500.0
2018-10-16,95.0,98.6,VIC,94.2,98.6,1290720.0
2018-10-17,99.0,99.6,VIC,98.2,99.0,1310430.0
2018-10-18,98.5,99.2,VIC,98.0,99.1,896140.0
2018-10-19,96.5,99.1,VIC,96.5,99.1,915870.0
2018-10-22,98.1,99.6,VIC,97.1,99.1,536930.0
2018-10-23,98.1,99.0,VIC,96.5,99.0,608750.0
2018-10-24,98.0,99.5,VIC,97.5,98.8,681290.0
2018-10-25,96.7,98.2,VIC,94.6,96.8,404050.0
2018-10-26,96.2,98.0,VIC,95.7,96.4,653110.0
2018-10-29,95.5,97.7,VIC,95.0,97.2,643700.0
2018-10-30,95.5,97.3,VIC,95.5,96.6,452080.0
2018-10-31,95.6,97.2,VIC,95.6,97.2,582470.0
2018-11-01,96.5,96.8,VIC,95.0,95.5,1225020.0
2018-11-02,95.6,96.7,VIC,95.5,96.0,1484060.0
2018-11-05,96.0,96.5,VIC,95.1,96.0,664130.0
2018-11-06,96.0,96.5,VIC,95.4,95.8,597170.0
2018-11-07,96.3,96.3,VIC,94.3,96.0,608180.0
2018-11-08,96.0,96.6,VIC,95.8,96.0,383030.0
2018-11-09,95.0,96.0,VIC,95.0,95.9,602570.0
2018-11-12,95.8,96.0,VIC,95.5,95.9,720990.0
2018-11-13,94.8,95.0,VIC,93.3,93.3,598800.0
2018-11-14,93.6,95.1,VIC,93.4,94.7,450950.0
2018-11-15,94.7,94.7,VIC,90.9,91.7,689540.0
2018-11-16,91.7,92.5,VIC,89.8,90.1,895700.0
2018-11-19,90.1,96.4,VIC,90.1,96.4,1553130.0
2018-11-20,94.7,97.2,VIC,94.7,97.2,1470120.0
2018-11-21,97.0,97.3,VIC,95.0,97.3,1609020.0
2018-11-22,97.2,98.0,VIC,96.5,98.0,1345610.0
2018-11-23,98.8,99.0,VIC,97.0,99.0,1055870.0
2018-11-26,99.0,100.5,VIC,98.0,100.5,642520.0
2018-11-27,100.5,103.2,VIC,100.5,101.5,467400.0
2018-11-28,101.5,102.0,VIC,100.8,102.0,577600.0
2018-11-29,102.5,103.0,VIC,101.7,102.0,367130.0
2018-11-30,101.0,102.0,VIC,97.5,101.7,1024240.0
2018-12-03,101.8,103.0,VIC,101.3,101.9,262710.0
2018-12-04,102.4,102.4,VIC,101.6,102.0,966490.0
2018-12-05,101.9,102.2,VIC,101.0,102.1,461240.0
2018-12-06,102.1,102.2,VIC,101.1,102.1,251610.0
2018-12-07,102.1,102.2,VIC,101.5,102.2,460960.0
2018-12-10,102.0,102.2,VIC,101.1,102.1,806730.0
2018-12-11,102.1,102.2,VIC,101.4,102.2,457470.0
2018-12-12,102.2,102.4,VIC,102.0,102.2,403320.0
2018-12-13,102.5,103.9,VIC,101.8,102.8,488820.0
2018-12-14,102.2,103.0,VIC,101.6,102.7,234660.0
2018-12-17,102.0,102.7,VIC,101.9,102.5,205950.0
2018-12-18,101.8,102.0,VIC,100.0,102.0,531470.0
2018-12-19,102.0,102.3,VIC,100.5,102.0,506600.0
2018-12-20,101.0,102.0,VIC,100.8,101.9,387370.0
2018-12-21,100.5,102.0,VIC,100.0,102.0,791040.0
2018-12-24,102.0,102.2,VIC,101.3,102.0,216960.0
2018-12-25,100.1,101.9,VIC,100.1,101.9,293610.0
2018-12-26,101.0,101.9,VIC,101.0,101.9,367750.0
2018-12-27,101.0,102.9,VIC,101.0,102.4,690680.0
2018-12-28,103.3,103.4,VIC,95.3,95.3,381320.0
2019-01-02,100.4,101.3,VIC,97.5,100.4,602450.0
2019-01-03,100.0,100.3,VIC,98.2,100.3,496950.0
2019-01-04,100.0,100.7,VIC,98.0,100.6,458000.0
2019-01-07,100.9,103.0,VIC,99.9,101.0,589150.0
2019-01-08,102.0,102.0,VIC,99.7,101.0,494300.0
2019-01-09,101.0,101.9,VIC,99.0,101.5,659210.0
2019-01-10,101.2,101.5,VIC,100.0,101.4,551980.0
2019-01-11,101.0,101.4,VIC,100.1,101.4,569030.0
2019-01-14,101.3,101.9,VIC,100.2,101.4,562930.0
2019-01-15,101.4,101.5,VIC,100.4,101.5,711450.0
2019-01-16,102.0,102.1,VIC,100.8,102.0,518160.0
2019-01-17,102.0,102.2,VIC,100.7,102.0,325130.0
2019-01-18,101.5,102.2,VIC,100.9,102.2,498290.0
2019-01-21,102.2,102.4,VIC,101.3,102.4,404250.0
2019-01-22,102.4,102.4,VIC,101.5,102.4,258070.0
2019-01-23,102.0,103.7,VIC,102.0,102.6,299570.0
2019-01-24,102.5,102.9,VIC,102.2,102.8,184720.0
2019-01-25,102.8,103.5,VIC,102.2,102.9,306670.0
2019-01-28,102.9,103.7,VIC,102.6,103.7,381260.0
2019-01-29,104.9,104.9,VIC,103.0,103.9,225310.0
2019-01-30,103.9,104.0,VIC,102.9,103.9,370040.0
2019-01-31,104.0,104.5,VIC,102.5,103.9,651020.0
2019-02-01,103.8,103.8,VIC,98.8,98.8,2095840.0
2019-02-11,101.8,104.0,VIC,101.2,104.0,527310.0
2019-02-12,104.9,109.1,VIC,104.0,109.1,769110.0
2019-02-13,108.0,109.3,VIC,107.2,109.0,822040.0
2019-02-14,109.0,113.0,VIC,109.0,112.9,995310.0
2019-02-15,113.0,113.0,VIC,112.0,112.0,670900.0
2019-02-18,112.5,113.7,VIC,111.7,113.7,829150.0
2019-02-19,113.5,116.6,VIC,113.5,116.0,1002020.0
2019-02-20,115.2,116.9,VIC,115.2,116.5,678800.0
2019-02-21,116.5,118.4,VIC,116.3,118.4,1162700.0
2019-02-22,118.0,118.4,VIC,116.6,117.0,720970.0
2019-02-25,117.0,117.9,VIC,115.9,116.3,624890.0
2019-02-26,116.0,116.6,VIC,113.5,115.5,792710.0
2019-02-27,115.5,117.9,VIC,115.5,117.4,824620.0
2019-02-28,117.0,117.4,VIC,113.1,114.0,1132410.0
2019-03-01,114.0,117.0,VIC,114.0,115.1,739260.0
2019-03-04,116.7,117.6,VIC,115.8,117.4,660550.0
2019-03-05,117.4,117.8,VIC,116.9,117.3,706060.0
2019-03-06,117.7,117.7,VIC,117.1,117.7,377280.0
2019-03-07,119.2,122.5,VIC,117.8,119.2,1797980.0
2019-03-08,119.0,119.6,VIC,118.1,118.1,845280.0
2019-03-11,117.0,118.3,VIC,117.0,118.3,429390.0
2019-03-12,119.0,119.4,VIC,118.2,118.6,902200.0
2019-03-13,118.5,120.0,VIC,117.0,117.5,1262350.0
2019-03-14,116.5,118.8,VIC,115.6,118.8,1155340.0
2019-03-15,119.3,119.3,VIC,117.9,118.7,1704580.0
2019-03-18,120.0,121.3,VIC,119.1,121.3,1114570.0
2019-03-19,121.3,122.4,VIC,120.7,121.0,1190080.0
2019-03-20,121.0,121.0,VIC,119.1,120.2,780190.0
2019-03-21,120.0,120.3,VIC,117.0,117.0,1208480.0
2019-03-22,117.0,118.9,VIC,117.0,118.6,1114660.0
2019-03-25,117.0,117.3,VIC,115.0,115.2,886800.0
2019-03-26,115.5,116.8,VIC,113.0,113.7,846570.0
2019-03-27,115.0,115.9,VIC,113.9,113.9,772080.0
2019-03-28,113.9,115.9,VIC,113.9,115.9,561880.0
2019-03-29,115.9,116.8,VIC,115.9,115.9,1099970.0
2019-04-01,116.4,116.5,VIC,115.8,116.5,828430.0
2019-04-02,116.9,117.2,VIC,116.2,116.3,1036350.0
2019-04-03,115.5,116.0,VIC,114.5,114.9,464270.0
2019-04-04,115.1,115.8,VIC,114.1,115.1,383730.0
2019-04-05,115.3,115.4,VIC,114.6,115.1,235790.0
2019-04-08,115.2,115.8,VIC,114.8,115.5,435190.0
2019-04-09,116.0,116.0,VIC,112.8,113.0,1156710.0
2019-04-10,113.0,114.0,VIC,110.9,111.8,696000.0
2019-04-11,111.8,115.0,VIC,111.8,115.0,350810.0
2019-04-12,115.0,115.0,VIC,113.0,113.2,551990.0
2019-04-16,109.5,113.1,VIC,108.0,113.1,1231190.0
2019-04-17,111.3,113.0,VIC,110.0,110.0,960220.0
2019-04-18,109.5,110.0,VIC,105.0,109.0,891240.0
2019-04-19,110.0,110.6,VIC,108.2,110.1,414050.0
2019-04-22,109.0,111.9,VIC,107.0,111.9,794060.0
2019-04-23,111.9,113.0,VIC,111.0,113.0,534660.0
2019-04-24,113.0,114.0,VIC,112.1,113.8,447820.0
2019-04-25,113.8,113.8,VIC,112.0,113.6,503490.0
2019-04-26,112.0,113.7,VIC,112.0,113.7,826050.0
2019-05-02,113.8,113.9,VIC,113.0,113.6,190970.0
2019-05-03,113.7,113.7,VIC,112.1,112.5,705500.0
2019-05-06,112.0,112.3,VIC,110.2,112.2,290580.0
2019-05-07,112.2,113.3,VIC,111.0,112.6,421350.0
2019-05-08,111.5,112.7,VIC,111.4,112.6,348500.0
2019-05-09,112.7,112.7,VIC,111.6,112.6,314140.0
2019-05-10,112.6,113.0,VIC,112.2,112.7,289160.0
2019-05-13,111.9,112.9,VIC,111.7,112.9,439200.0
2019-05-14,112.0,113.5,VIC,111.9,113.5,539280.0
2019-05-15,113.5,116.2,VIC,113.4,115.3,456790.0
2019-05-16,115.3,118.9,VIC,115.3,116.9,773010.0
2019-05-17,117.0,118.1,VIC,116.1,116.9,464260.0
2019-05-20,117.0,117.5,VIC,116.1,117.5,406340.0
2019-05-21,118.7,118.7,VIC,116.3,117.5,708620.0
2019-05-22,117.5,118.1,VIC,116.0,117.5,382330.0
2019-05-23,117.0,117.6,VIC,116.2,117.0,249830.0
2019-05-24,115.5,116.2,VIC,114.3,115.0,628560.0
2019-05-27,114.0,115.9,VIC,114.0,115.0,166080.0
2019-05-28,116.0,116.0,VIC,114.0,114.0,503270.0
2019-05-29,114.9,115.4,VIC,114.0,115.2,357950.0
2019-05-30,115.2,116.2,VIC,115.0,115.0,572810.0
2019-05-31,115.8,115.8,VIC,114.6,114.6,296610.0
2019-06-03,114.0,115.5,VIC,113.0,114.5,281510.0
2019-06-04,113.6,115.4,VIC,113.6,114.6,262740.0
2019-06-05,115.0,115.9,VIC,115.0,115.9,244400.0
2019-06-06,115.9,115.9,VIC,114.4,115.9,167500.0
2019-06-07,116.6,117.0,VIC,116.1,117.0,286940.0
2019-06-10,117.2,118.7,VIC,117.2,117.6,955890.0
2019-06-11,117.6,117.8,VIC,117.0,117.0,308910.0
2019-06-12,117.0,117.5,VIC,116.0,116.0,258350.0
2019-06-13,115.2,115.9,VIC,115.2,115.5,267940.0
2019-06-14,116.0,116.0,VIC,114.3,115.5,350180.0
2019-06-17,115.9,116.5,VIC,113.8,114.5,415390.0
2019-06-18,114.7,115.0,VIC,113.8,114.0,433860.0
2019-06-19,115.9,115.9,VIC,114.5,115.9,135220.0
2019-06-20,116.2,117.1,VIC,115.6,116.0,317480.0
2019-06-21,114.5,116.8,VIC,114.5,114.5,594210.0
2019-06-24,115.0,116.6,VIC,115.0,116.4,228390.0
2019-06-25,116.5,117.2,VIC,116.3,116.4,510700.0
2019-06-26,116.9,117.0,VIC,116.0,116.9,515020.0
