Date,Open,High,Name,Low,Close,Volume
2018-09-21,12.65,12.9,STB,12.6,12.7,14011070.0
2018-09-24,12.8,12.85,STB,12.5,12.55,7248540.0
2018-09-25,12.65,12.8,STB,12.5,12.65,4617820.0
2018-09-26,12.6,12.9,STB,12.6,12.7,6316740.0
2018-09-27,12.75,12.85,STB,12.6,12.65,4737730.0
2018-09-28,12.7,13.5,STB,12.65,13.5,27263660.0
2018-10-01,13.8,14.4,STB,13.7,13.85,22126950.0
2018-10-02,13.9,14.05,STB,13.7,13.9,9280400.0
2018-10-03,13.8,14.05,STB,13.8,13.85,16349910.0
2018-10-04,13.9,13.95,STB,13.8,13.85,8961930.0
2018-10-05,13.8,14.3,STB,13.75,13.8,19475140.0
2018-10-08,13.65,13.95,STB,13.6,13.85,17690010.0
2018-10-09,13.95,13.95,STB,13.4,13.55,19464630.0
2018-10-10,13.5,13.6,STB,13.3,13.4,9022660.0
2018-10-11,12.5,13.1,STB,12.5,12.5,24729240.0
2018-10-12,12.4,13.1,STB,12.3,13.05,14990250.0
2018-10-15,13.0,13.2,STB,12.9,12.95,7832090.0
2018-10-16,13.0,13.6,STB,13.0,13.6,9787750.0
2018-10-17,13.55,13.9,STB,13.45,13.55,8921720.0
2018-10-18,13.35,13.85,STB,13.35,13.5,14182290.0
2018-10-19,13.3,13.6,STB,13.25,13.45,8314490.0
2018-10-22,13.35,13.5,STB,12.95,12.95,8687300.0
2018-10-23,12.8,12.95,STB,12.35,12.55,9767110.0
2018-10-24,12.6,12.85,STB,12.55,12.6,6594420.0
2018-10-25,11.95,12.65,STB,11.95,12.55,6170000.0
2018-10-26,12.75,12.75,STB,12.3,12.3,5793540.0
2018-10-29,12.3,12.35,STB,11.95,12.0,5707100.0
2018-10-30,11.95,12.3,STB,11.9,11.95,5088100.0
2018-10-31,12.2,12.5,STB,12.15,12.5,5142100.0
2018-11-01,12.55,12.6,STB,12.2,12.2,3089540.0
2018-11-02,12.35,12.55,STB,12.2,12.4,6058610.0
2018-11-05,12.3,12.4,STB,12.2,12.35,3015460.0
2018-11-06,12.4,12.5,STB,12.25,12.25,3477960.0
2018-11-07,12.25,12.8,STB,12.15,12.7,11330740.0
2018-11-08,12.95,12.95,STB,12.6,12.6,3120870.0
2018-11-09,12.55,12.65,STB,12.35,12.35,3513330.0
2018-11-12,12.2,12.35,STB,12.05,12.2,4618460.0
2018-11-13,12.0,12.2,STB,11.95,12.0,5031020.0
2018-11-14,12.0,12.2,STB,11.95,11.95,3232520.0
2018-11-15,12.0,12.05,STB,11.85,12.0,3884920.0
2018-11-16,12.1,12.25,STB,12.0,12.1,3925350.0
2018-11-19,12.25,12.35,STB,12.1,12.3,3045270.0
2018-11-20,12.25,12.3,STB,12.15,12.2,2691270.0
2018-11-21,12.05,12.25,STB,12.05,12.25,2547880.0
2018-11-22,12.3,12.45,STB,12.25,12.4,4899780.0
2018-11-23,12.3,12.4,STB,12.25,12.25,2126820.0
2018-11-26,12.25,12.3,STB,12.15,12.3,1556000.0
2018-11-27,12.3,12.4,STB,12.15,12.15,2873780.0
2018-11-28,12.1,12.25,STB,12.1,12.25,1972080.0
2018-11-29,12.3,12.35,STB,12.15,12.15,3188990.0
2018-11-30,12.15,12.25,STB,12.1,12.15,2724410.0
2018-12-03,12.4,12.8,STB,12.3,12.8,10674800.0
2018-12-04,12.8,12.9,STB,12.65,12.8,5838070.0
2018-12-05,12.55,12.85,STB,12.55,12.7,6617680.0
2018-12-06,12.65,12.75,STB,12.55,12.6,4741210.0
2018-12-07,12.65,12.85,STB,12.6,12.65,5038420.0
2018-12-10,12.6,12.6,STB,12.45,12.5,4481730.0
2018-12-11,12.55,12.6,STB,12.45,12.5,2968290.0
2018-12-12,12.5,12.75,STB,12.5,12.7,2711830.0
2018-12-13,12.8,13.1,STB,12.75,12.9,8926020.0
2018-12-14,12.9,13.0,STB,12.7,12.8,3741130.0
2018-12-17,12.65,12.7,STB,12.5,12.5,3971510.0
2018-12-18,12.3,12.45,STB,12.2,12.4,5276070.0
2018-12-19,12.45,12.45,STB,12.2,12.45,3151380.0
2018-12-20,12.3,12.4,STB,12.2,12.25,3411360.0
2018-12-21,12.15,12.3,STB,12.1,12.1,3672880.0
2018-12-24,12.3,12.45,STB,12.15,12.15,3321220.0
2018-12-25,12.0,12.1,STB,11.7,11.95,6727130.0
2018-12-26,12.0,12.15,STB,11.95,11.95,2469970.0
2018-12-27,12.2,12.25,STB,12.0,12.0,2092380.0
2018-12-28,12.0,12.15,STB,11.95,11.95,2108370.0
2019-01-02,11.6,12.05,STB,11.6,11.6,3858970.0
2019-01-03,11.5,11.65,STB,11.1,11.1,6284880.0
2019-01-04,11.0,11.35,STB,10.9,11.15,3828780.0
2019-01-07,11.4,11.6,STB,11.35,11.5,3702750.0
2019-01-08,11.5,11.5,STB,11.3,11.35,1572220.0
2019-01-09,11.4,11.55,STB,11.4,11.4,2633920.0
2019-01-10,11.5,11.5,STB,11.35,11.4,2073630.0
2019-01-11,11.45,11.5,STB,11.3,11.4,2169340.0
2019-01-14,11.4,11.45,STB,11.2,11.2,1929220.0
2019-01-15,11.25,11.35,STB,11.2,11.3,2159900.0
2019-01-16,11.3,11.45,STB,11.3,11.3,2682420.0
2019-01-17,11.2,11.4,STB,11.15,11.2,1740540.0
2019-01-18,11.25,11.3,STB,11.05,11.25,2620140.0
2019-01-21,11.35,11.85,STB,11.25,11.7,6690440.0
2019-01-22,11.85,11.85,STB,11.7,11.75,4051900.0
2019-01-23,11.75,12.25,STB,11.7,12.15,7824620.0
2019-01-24,12.1,12.2,STB,12.0,12.2,3754610.0
2019-01-25,12.2,12.4,STB,12.15,12.3,6422920.0
2019-01-28,12.35,12.35,STB,12.1,12.25,2703010.0
2019-01-29,12.2,12.2,STB,12.05,12.15,2870480.0
2019-01-30,12.15,12.2,STB,12.0,12.0,2487300.0
2019-01-31,12.1,12.4,STB,12.0,12.3,5064350.0
2019-02-01,12.3,12.4,STB,12.2,12.4,3351230.0
2019-02-11,12.6,12.95,STB,12.45,12.95,6861770.0
2019-02-12,12.85,13.1,STB,12.8,13.0,6462030.0
2019-02-13,13.0,13.1,STB,12.95,13.0,6887720.0
2019-02-14,12.9,13.05,STB,12.9,12.95,4821990.0
2019-02-15,12.9,13.05,STB,12.75,13.0,4507890.0
2019-02-18,13.05,13.2,STB,12.95,13.1,3713540.0
2019-02-19,13.15,13.15,STB,12.8,12.8,5247880.0
2019-02-20,12.85,13.05,STB,12.7,12.9,5454950.0
2019-02-21,12.95,13.0,STB,12.8,13.0,4116800.0
2019-02-22,12.8,13.15,STB,12.8,13.05,5726470.0
2019-02-25,13.1,13.15,STB,12.9,12.9,6896200.0
2019-02-26,12.9,12.95,STB,12.7,12.8,3764680.0
2019-02-27,12.8,12.9,STB,12.7,12.7,2409880.0
2019-02-28,12.75,12.85,STB,12.3,12.3,8437060.0
2019-03-01,12.5,12.65,STB,12.45,12.65,2599200.0
2019-03-04,12.75,12.8,STB,12.65,12.75,3063000.0
2019-03-05,12.75,12.9,STB,12.65,12.7,4727110.0
2019-03-06,12.7,12.75,STB,12.6,12.65,2020170.0
2019-03-07,12.65,12.9,STB,12.65,12.8,3504640.0
2019-03-08,12.7,12.75,STB,12.55,12.6,2904210.0
2019-03-11,12.6,12.65,STB,12.45,12.55,2106880.0
2019-03-12,12.6,12.7,STB,12.5,12.7,3782210.0
2019-03-13,12.75,12.95,STB,12.75,12.8,6154040.0
2019-03-14,12.85,13.15,STB,12.75,13.0,8475690.0
2019-03-15,13.0,13.05,STB,12.85,12.95,4399800.0
2019-03-18,12.95,13.05,STB,12.85,12.85,3314010.0
2019-03-19,12.8,12.9,STB,12.7,12.7,4335960.0
2019-03-20,12.65,12.85,STB,12.65,12.8,4222210.0
2019-03-21,12.85,12.9,STB,12.5,12.5,4744360.0
2019-03-22,12.6,12.65,STB,12.45,12.55,3001570.0
2019-03-25,12.3,12.45,STB,12.15,12.25,3929770.0
2019-03-26,12.3,12.45,STB,12.3,12.3,1684920.0
2019-03-27,12.35,12.4,STB,12.3,12.35,1242070.0
2019-03-28,12.3,12.3,STB,12.15,12.15,4031920.0
2019-03-29,12.2,12.35,STB,12.15,12.2,3432790.0
2019-04-01,12.2,12.4,STB,12.2,12.4,1685150.0
2019-04-02,12.45,12.5,STB,12.2,12.2,1825870.0
2019-04-03,12.2,12.3,STB,12.15,12.25,1428070.0
2019-04-04,12.3,12.3,STB,12.2,12.3,1093530.0
2019-04-05,12.3,12.3,STB,12.2,12.25,1143430.0
2019-04-08,12.25,12.3,STB,12.15,12.25,1881280.0
2019-04-09,12.3,12.35,STB,12.2,12.25,2722310.0
2019-04-10,12.2,12.25,STB,12.05,12.1,1969270.0
2019-04-11,12.2,12.2,STB,12.05,12.05,788760.0
2019-04-12,12.05,12.15,STB,12.05,12.1,1541760.0
2019-04-16,12.0,12.15,STB,11.85,12.05,3054010.0
2019-04-17,12.15,12.2,STB,11.9,11.9,1712260.0
2019-04-18,12.0,12.0,STB,11.75,11.75,2439170.0
2019-04-19,11.8,11.9,STB,11.75,11.75,1650400.0
2019-04-22,11.8,11.8,STB,11.55,11.55,2430560.0
2019-04-23,11.6,12.2,STB,11.55,12.05,4444940.0
2019-04-24,12.15,12.2,STB,12.05,12.05,2009830.0
2019-04-25,12.05,12.05,STB,11.8,11.85,2901000.0
2019-04-26,11.85,12.0,STB,11.85,11.95,1503470.0
2019-05-02,12.1,12.1,STB,11.85,11.9,2096650.0
2019-05-03,11.9,12.4,STB,11.9,12.35,8683660.0
2019-05-06,12.2,12.2,STB,12.05,12.05,2757880.0
2019-05-07,12.15,12.2,STB,12.05,12.1,3868150.0
2019-05-08,11.95,12.25,STB,11.95,12.15,4254250.0
2019-05-09,12.15,12.2,STB,11.85,11.9,6642650.0
2019-05-10,12.0,12.05,STB,11.9,12.0,1969450.0
2019-05-13,11.95,12.05,STB,11.85,11.95,1962990.0
2019-05-14,11.85,11.95,STB,11.8,11.9,2992760.0
2019-05-15,12.0,12.15,STB,11.95,12.05,3044590.0
2019-05-16,12.15,12.15,STB,11.95,12.0,1844380.0
2019-05-17,11.95,12.05,STB,11.95,11.95,1816710.0
2019-05-20,12.0,12.05,STB,11.9,11.95,2869040.0
2019-05-21,12.0,12.2,STB,11.95,12.05,5450380.0
2019-05-22,12.05,12.2,STB,12.0,12.05,4453110.0
2019-05-23,12.05,12.15,STB,11.95,12.0,1873810.0
2019-05-24,11.9,11.95,STB,11.75,11.8,6040540.0
2019-05-27,11.8,11.9,STB,11.75,11.8,1256990.0
2019-05-28,11.85,11.95,STB,11.75,11.8,2307740.0
2019-05-29,11.85,11.85,STB,11.75,11.75,1765170.0
2019-05-30,11.75,11.9,STB,11.7,11.8,2100560.0
2019-05-31,11.75,11.9,STB,11.7,11.75,1928870.0
2019-06-03,11.7,11.75,STB,11.5,11.6,3847140.0
2019-06-04,11.65,11.7,STB,11.55,11.6,2440450.0
2019-06-05,11.7,11.8,STB,11.65,11.65,2401360.0
2019-06-06,11.65,11.7,STB,11.55,11.55,1900010.0
2019-06-07,11.6,11.75,STB,11.6,11.75,1429480.0
2019-06-10,11.75,11.85,STB,11.75,11.8,3030830.0
2019-06-11,11.85,11.85,STB,11.7,11.7,1201010.0
2019-06-12,11.7,11.8,STB,11.65,11.65,556040.0
2019-06-13,11.65,11.7,STB,11.6,11.6,1308500.0
2019-06-14,11.65,11.75,STB,11.6,11.65,1135670.0
2019-06-17,11.65,11.7,STB,11.45,11.45,2865290.0
2019-06-18,11.45,11.5,STB,11.2,11.2,3530280.0
2019-06-19,11.3,11.4,STB,11.25,11.3,1284560.0
2019-06-20,11.3,11.55,STB,11.3,11.5,2744170.0
2019-06-21,11.45,11.6,STB,11.4,11.45,15020810.0
2019-06-24,11.5,11.7,STB,11.5,11.7,3159730.0
2019-06-25,11.7,11.8,STB,11.6,11.65,2499830.0
2019-06-26,11.5,11.65,STB,11.5,11.5,2815950.0
2019-06-27,11.3,11.55,STB,11.3,11.3,3913270.0
2019-06-28,11.35,11.4,STB,11.25,11.35,3056690.0
2019-07-01,11.55,11.6,STB,11.45,11.55,4227550.0
2019-07-02,11.45,11.55,STB,11.4,11.45,2530270.0
2019-07-03,11.5,11.5,STB,11.35,11.35,2342120.0
2019-07-04,11.5,11.55,STB,11.35,11.45,2407380.0
2019-07-05,11.45,11.5,STB,11.4,11.4,2275820.0
2019-07-08,11.45,11.5,STB,11.3,11.4,2468730.0
2019-07-09,11.4,11.45,STB,11.3,11.35,1626810.0
2019-07-10,11.4,11.55,STB,11.35,11.45,3207160.0
2019-07-11,11.55,11.55,STB,11.4,11.5,2599710.0
2019-07-12,11.5,11.55,STB,11.4,11.4,2599730.0
2019-07-15,11.5,11.5,STB,11.3,11.35,3388570.0
2019-07-16,11.4,11.5,STB,11.3,11.4,3238030.0
2019-07-17,11.45,11.65,STB,11.4,11.55,7842600.0
2019-07-18,11.55,11.65,STB,11.5,11.55,3647500.0
2019-07-19,11.55,11.75,STB,11.55,11.7,4763810.0
2019-07-22,11.65,11.75,STB,11.5,11.5,2825190.0
2019-07-23,11.55,11.6,STB,11.5,11.5,1904960.0
2019-07-24,11.5,11.55,STB,11.35,11.35,4401900.0
2019-07-25,11.35,11.35,STB,11.2,11.2,5858050.0
