Date,Open,High,Name,Low,Close,Volume
2018-09-21,136.0,137.8,VNM,134.9,102.68,1840850.0
2018-09-24,137.8,137.8,VNM,136.2,102.08,639720.0
2018-09-25,136.9,137.1,VNM,136.2,102.01,480150.0
2018-09-26,136.9,136.9,VNM,136.3,101.71,418120.0
2018-09-27,138.5,140.0,VNM,136.8,103.2,980840.0
2018-09-28,138.5,138.9,VNM,137.3,102.31,520020.0
2018-10-01,136.8,137.0,VNM,136.0,101.56,514820.0
2018-10-02,135.0,137.6,VNM,135.0,102.08,581340.0
2018-10-03,137.0,137.1,VNM,136.5,102.01,701280.0
2018-10-04,136.9,137.0,VNM,135.9,102.01,304620.0
2018-10-05,136.0,136.1,VNM,135.0,100.74,519180.0
2018-10-08,134.1,134.7,VNM,133.0,99.1,566750.0
2018-10-09,132.2,133.0,VNM,130.8,97.54,660630.0
2018-10-10,130.5,130.9,VNM,129.8,96.87,636650.0
2018-10-11,127.0,129.0,VNM,123.0,94.63,1182360.0
2018-10-12,127.0,128.7,VNM,124.6,95.75,957810.0
2018-10-15,129.0,129.0,VNM,125.6,93.66,692180.0
2018-10-16,126.0,126.4,VNM,125.2,93.89,988520.0
2018-10-17,126.9,127.5,VNM,126.3,94.56,444290.0
2018-10-18,126.9,127.0,VNM,125.9,93.89,349110.0
2018-10-19,125.1,126.8,VNM,124.1,94.48,1087950.0
2018-10-22,126.0,126.8,VNM,125.8,93.74,316450.0
2018-10-23,125.7,125.7,VNM,121.7,92.02,1197220.0
2018-10-24,123.5,123.5,VNM,121.9,91.35,742160.0
2018-10-25,120.0,120.9,VNM,117.1,89.42,1154690.0
2018-10-26,121.9,122.0,VNM,120.9,90.53,643020.0
2018-10-29,121.5,121.5,VNM,118.7,89.42,488810.0
2018-10-30,120.0,120.0,VNM,117.3,87.4,535070.0
2018-10-31,117.3,118.0,VNM,114.5,86.51,1075800.0
2018-11-01,117.0,117.0,VNM,111.5,85.17,1724930.0
2018-11-02,114.3,118.8,VNM,114.3,88.3,1601100.0
2018-11-05,117.1,118.1,VNM,114.9,86.81,841100.0
2018-11-06,116.5,118.8,VNM,115.5,87.7,1599760.0
2018-11-07,117.7,120.5,VNM,117.7,89.04,1339350.0
2018-11-08,120.8,121.0,VNM,119.5,89.42,815890.0
2018-11-09,118.0,119.2,VNM,116.9,87.18,728150.0
2018-11-12,115.3,117.0,VNM,115.1,87.18,596940.0
2018-11-13,115.2,116.8,VNM,114.8,86.43,483810.0
2018-11-14,116.0,118.3,VNM,115.8,87.55,674260.0
2018-11-15,117.5,118.0,VNM,115.0,87.18,556360.0
2018-11-16,117.0,117.5,VNM,115.0,85.69,566540.0
2018-11-19,116.0,116.3,VNM,114.9,85.99,739450.0
2018-11-20,115.4,116.6,VNM,115.3,86.81,715090.0
2018-11-21,116.0,119.2,VNM,115.7,88.82,1113540.0
2018-11-22,119.2,120.3,VNM,119.2,89.49,933880.0
2018-11-23,119.9,119.9,VNM,117.5,87.93,416930.0
2018-11-26,118.2,123.4,VNM,118.0,91.73,1817580.0
2018-11-27,124.5,127.5,VNM,123.2,94.26,1882720.0
2018-11-28,126.0,129.0,VNM,126.0,95.38,1330740.0
2018-11-29,128.5,128.5,VNM,126.3,94.11,970820.0
2018-11-30,126.0,128.5,VNM,126.0,95.38,1417590.0
2018-12-03,128.0,134.0,VNM,128.0,99.55,1282310.0
2018-12-04,134.0,136.5,VNM,133.6,101.71,1001800.0
2018-12-05,134.5,135.2,VNM,132.1,99.1,1107160.0
2018-12-06,132.0,132.8,VNM,129.9,98.13,1089360.0
2018-12-07,132.1,134.6,VNM,132.1,99.77,509830.0
2018-12-10,133.9,136.5,VNM,133.5,100.59,1003810.0
2018-12-11,134.8,135.5,VNM,133.5,100.44,443060.0
2018-12-12,134.1,134.9,VNM,133.0,99.85,782440.0
2018-12-13,134.0,136.0,VNM,134.0,100.59,643110.0
2018-12-14,135.0,135.4,VNM,134.4,100.59,260170.0
2018-12-17,135.0,135.0,VNM,133.9,99.77,1043020.0
2018-12-18,130.5,132.0,VNM,130.5,98.13,811850.0
2018-12-19,131.1,131.5,VNM,129.0,96.2,484090.0
2018-12-20,129.0,129.0,VNM,126.2,94.04,539710.0
2018-12-21,124.6,125.0,VNM,122.1,91.28,1901570.0
2018-12-24,123.0,126.5,VNM,123.0,93.59,459230.0
2018-12-25,124.2,124.7,VNM,123.0,92.84,349610.0
2018-12-26,124.6,124.6,VNM,122.5,92.4,670520.0
2018-12-27,124.0,125.9,VNM,123.2,92.55,772610.0
