"Date","Value","Open","High","Low","Close","Volume","normalized_rates"
2018-09-07,6.25,932.12,945.59,931.19,945.59,46814260,1565.29
2018-09-10,6.25,945.59,948.31,942.68,943.31,50012320,1565.29
2018-09-11,6.25,943.31,959.09,940.78,958.91,47924060,1565.29
2018-09-12,6.25,958.91,967.78,958.67,958.67,55984740,1565.29
2018-09-13,6.25,958.67,963.72,955.64,957.17,48964120,1565.29
2018-09-14,6.25,957.17,963.5,957.17,960.6,13240120,1565.29
2018-09-17,6.25,958.78,960.94,951.38,953.79,43725890,1565.29
2018-09-18,6.25,949.32,959.75,945.93,959.75,58886410,1565.29
2018-09-19,6.25,959.75,969.34,959.75,962.7,66978840,1565.29
2018-09-20,6.25,962.7,971.48,962.26,971.18,56330910,1565.29
2018-09-21,6.25,971.18,978.77,968.73,974.43,117096540,1565.29
2018-09-24,6.25,974.43,986.3,974.43,985.59,55248400,1565.29
2018-09-25,6.25,985.59,988.23,980.44,985.11,53103760,1565.29
2018-09-26,6.25,985.11,989.54,980.8,984.39,60311360,1565.29
2018-09-27,6.25,984.39,992.1,984.15,989.45,51372600,1565.29
2018-09-28,6.25,989.45,996.6,989.45,994.73,89440260,1565.29
2018-10-01,6.25,994.73,1001.14,990,990.41,81255010,1565.29
2018-10-02,6.25,990.41,992.77,984.54,987.88,66203650,1565.29
2018-10-03,6.25,987.88,992.87,986.16,990.6,57100270,1565.29
2018-10-04,6.25,990.6,993.78,989.06,993.61,74038630,1565.29
2018-10-05,6.25,993.61,993.61,980.75,980.75,74563800,1565.29
2018-10-08,6.25,980.75,980.75,968.61,970.28,71307590,1565.29
2018-10-09,6.25,970.28,974.29,966.68,967.37,63817220,1565.29
2018-10-10,6.25,967.37,970.51,961.7,966.27,63521280,1565.29
2018-10-11,6.25,966.27,966.27,911.69,920.02,136876030,1565.29
2018-10-12,6.25,920.02,943.73,908.74,943.49,78654890,1565.29
2018-10-15,6.25,943.49,943.62,927.6,928.55,41833000,1565.29
2018-10-16,6.25,928.55,939.41,926.96,939.41,42663640,1565.29
2018-10-17,6.25,939.41,949.41,939.41,947.46,15230120,1565.29
2018-10-18,6.25,945.91,945.92,936.22,937.54,45079700,1565.29
2018-10-19,6.25,937.54,937.54,920.28,931.69,47143040,1565.29
2018-10-22,6.25,931.69,938.02,922.75,922.75,41144780,1565.29
2018-10-23,6.25,908,919.49,893.34,908,72791480,1565.29
2018-10-24,6.25,908,909.4,896.5,896.5,48110900,1565.29
2018-10-25,6.25,896.5,896.5,860.13,888.86,56983320,1565.29
2018-10-26,6.25,888.86,897.48,881.06,881.06,45672420,1565.29
2018-10-29,6.25,881.06,881.87,870.36,874.43,41645700,1565.29
2018-10-30,6.25,874.43,881.83,868.29,874.06,37875270,1565.29
2018-10-31,6.25,874.06,901.93,874.06,901.57,60484190,1565.29
2018-11-01,6.25,901.57,901.57,885.58,887.72,39445040,1565.29
2018-11-02,6.25,887.72,905.65,887.72,903.43,55629860,1565.29
2018-11-05,6.25,903.43,904.83,894.88,904.83,33823220,1565.29
2018-11-06,6.25,905.34,909.19,899.61,899.61,37075370,1565.29
2018-11-07,6.25,899.61,903.15,892.79,899.25,45544000,1565.29
2018-11-08,6.25,899.25,909.69,899.25,900.4,31118060,1565.29
2018-11-09,6.25,900.4,900.4,885.65,885.65,38609740,1565.29
2018-11-12,6.25,885.65,889.06,875.29,888.2,33821800,1565.29
2018-11-13,6.25,888.2,888.2,873.87,873.87,39563470,1565.29
